NIGP Code,CPV mapping
00500,14810000#14522400
00505,14810000#14522400
00514,14810000#14522400
00521,14810000#14522400
00528,14810000#14522400
00542,14810000
00556,14810000#14522400
00563,43811000#43414000
00570,14212300
00575,14810000#14522400
00584,14810000#14522400
01000,44110000
01005,44111000
01008,44111000
01009,44110000
01011,44110000
01014,44110000
01017,44174000
01030,44523200#44316400
01038,44110000
01041,37810000#37800000
01045,44110000#44420000
01053,45321000#44111520
01056,44110000
01057,45321000#44111520
01059,45321000#44111520
01061,44110000
01062,45321000#44111520
01063,44110000
01064,45321000#44111520
01065,45321000#44111520
01070,44110000
01072,45321000#44111520
01075,44110000
01076,44110000
01078,44110000
01081,44110000
01083,44110000
01084,44110000
01500,30124000
01506,30132100
01510,30132100
01515,30124100
01516,30197642#30197643
01520,30131100
01525,30131100
01538,30190000
01539,30190000
01545,30190000
01555,30190000
01570,22800000#30199000
01577,30190000
01900,03111700
01920,03211000
01921,03222310
01924,03211000
01930,03211000
01932,19212000#19433000
01941,03222220
01942,03222220
01947,03222342
01950,03111700
01953,03111700
01954,03211000
01956,15894400
01958,03211000
01960,03111700
01962,03111700
01966,03211000
01967,03211000
01972,03211000
01973,03111100
01978,15842000
01985,15992000
01990,03111700
01994,03211000
02000,16100000
02002,16100000
02004,43830000
02006,44511500#42675100#03410000
02010,16100000
02013,16100000
02014,43312300
02015,16300000
02016,16100000
02018,16100000
02020,16300000
02023,16100000
02025,42414410#42415000
02027,15112000#03322000
02028,42414410#42415000
02030,16400000
02031,16400000
02033,16100000
02034,16100000
02035,16610000
02036,16610000
02037,16610000
02039,16100000
02040,16610000
02041,16300000
02043,16300000
02046,42000000
02049,43323000
02059,16100000
02061,16300000
02062,16100000#16600000#16800000
02063,15112000#03322000
02064,16300000
02065,16300000
02066,16300000
02067,16300000
02068,16300000
02069,15112000#03322000
02071,16100000
02072,16100000
02073,16100000#16800000
02074,16000000
02075,16100000
02076,03144000
02077,16100000
02078,16000000
02079,16100000
02080,16000000
02081,03144000
02082,16100000
02083,16000000
02084,16100000
02085,16610000
02087,16100000
02089,34114000
02090,16100000
02091,16100000#16600000#16800000
02093,16100000
02095,42000000
02096,16100000#16600000#16800000
02200,16100000
02204,43312200
02213,16300000
02215,16100000
02230,16100000
02241,16300000
02242,16300000
02243,03144000
02249,16000000
02251,16000000
02253,16000000
02254,16000000
02258,16000000
02262,16610000
02270,16100000
02271,16000000
02273,16610000
02274,16610000
02275,16100000
02277,16100000
02280,16100000
02282,16100000#16600000#16800000
02295,16000000
02297,16300000
02500,42123000
02510,42123000
02520,42123000
02530,42123000
02540,42123000
02543,42123000
02545,42123000
02550,42123000
02555,42716000
02560,42514300
02570,42113160#42110000
02580,42113160#42110000
02585,31110000
02590,31110000
03100,42500000
03102,42500000
03103,42500000
03104,42900000#39717000
03105,42500000
03106,31110000
03107,42900000#39717000
03108,44523300
03109,42900000#39717000
03110,45252200
03111,42900000#39717000
03113,42500000
03114,42500000
03115,42500000
03116,39563530#42500000
03117,42500000
03118,42500000
03120,42500000
03121,42500000
03123,42500000
03124,31711400#42131000
03125,31711400#42131000
03126,42961000#42512300#31682210
03127,42500000
03128,42500000
03129,38930000
03130,38930000
03131,39830000
03132,42520000
03133,42520000
03134,42000000
03136,45252200
03138,42500000
03140,42900000#39717000
03141,42900000#39717000
03143,42514300
03144,42514300
03145,42514300
03146,42514300
03149,42514300
03150,42500000
03151,39715200
03153,39563530#42500000
03155,42900000#39717000
03156,39715200
03157,39715200
03158,39715200
03159,39715200
03160,39715200
03161,39715200
03162,39715200
03163,39715200
03165,39715200
03166,39715200
03167,39715200
03169,42912310#42924730
03170,42912310#42924730
03172,43100000
03173,42500000
03174,42500000
03175,39715200
03176,39563530#42500000
03178,39563530#42500000
03179,44112500
03180,39715200
03182,39715200
03187,39715200
03189,39715200
03191,39715200
03192,39715200
03193,39715200
03194,39715200
03195,39563530#42500000
03196,39563530#42500000
03197,42500000
03500,34900000
03502,34700000
03503,34700000
03504,34933000
03505,38100000
03506,34700000
03507,34741000
03508,34700000
03509,32524000
03510,34933000#38110000
03511,34700000
03515,38100000
03516,38100000
03520,34700000
03521,34700000
03522,34700000
03523,34700000
03525,34700000
03526,34700000
03527,38100000
03528,32524000
03529,34700000
03530,38127000#34700000
03531,32524000
03532,34700000
03535,38127000#34700000
03537,34700000
03540,34741000
03544,34700000
03545,34741000
03546,34300000
03547,34700000
03548,34700000
03549,34741000
03550,34700000
03552,34700000
03554,34730000
03555,34730000
03560,34700000
03565,34700000
03566,34730000
03567,34741000
03568,34741000
03569,34741000
03570,34730000
03571,38127000#34700000
03572,34322000
03575,34741000
03576,34700000
03577,34741000
03578,34741000
03579,34741000
03580,34700000
03581,34700000
03582,34700000
03583,34730000
03585,34741000
03590,34741000
03591,34700000
03592,34700000
03593,34700000
03594,34700000
03595,38431000#35125000
03596,34741000
03700,18530000
03718,42968000
03723,30194300#30199000
03725,42400000
03728,37520000
03734,39162000
03735,39298500
03743,37520000
03752,34928470
03756,30190000
03763,37520000
03764,37535200
03775,42968000
03778,37520000
03784,37520000
03788,32321200
03789,32321200
04000,03322000
04001,03320000
04002,77000000
04003,03140000
04004,03140000
04005,03325000
04007,03142500
04008,77000000
04009,03322000
04010,03322000
04011,03322000
04020,03322000
04021,03325000
04022,03325000
04024,03325000
04026,03325000
04028,03325000
04030,03322000
04035,03325000
04037,38400000
04040,03311000
04042,03312200
04045,03311000
04048,03322000
04050,03322000
04058,77000000
04060,03322000
04061,03322000
04070,03322000
04071,77000000
04072,03325000
04075,03312200
04080,03322000
04082,03322000
04083,03142500
04084,03142500
04085,03322000
04086,03140000
04087,03322000
04088,03320000
04090,03322000
04091,03140000
04092,03140000
04093,03325000
04094,03325000
04095,15112000#03322000
04096,03320000
04500,39224300#39220000
04506,39141000
04512,39141000
04514,39141000
04515,39141000
04517,39141000
04518,39141000
04520,39141000
04521,39221180#39221000
04522,39141000
04524,39141000
04525,39221100
04530,39141000
04540,39240000
04546,39141000
04547,39291000
04548,39291000
04549,39141000
04550,39141000
04551,39141000
04552,39141000
04554,39141000
04560,39715200
04564,39141000
04566,39141000
04570,39141000
04572,39141000
04573,39141000
04574,39141000
04575,39141000
04577,39713410
04578,39713410
04584,39141000
04585,39141000
04592,39291000
04594,39291000
04595,39291000
05000,37800000
05010,19212310#30195000
05020,19212310#30195000
05023,19212310#30195000
05030,19240000
05040,30194300#30199000
05043,24911200#39812500
05046,37800000
05050,42641000
05059,30194300#30199000
05060,39298200
05067,19212310#30195000
05069,37800000
05080,37800000#37000000#37810000
05082,39162000
05085,19200000
05087,37800000
05200,37800000
05202,37520000
05208,37800000
05212,37520000
05214,37520000
05216,37800000
05224,37800000
05232,19200000
05240,37800000
05248,37800000
05250,37800000
05251,37800000
05252,37800000
05253,37800000
05254,37800000
05255,37800000
05256,37800000
05264,37800000
05272,37800000
05276,37800000
05280,37800000
05288,37800000
05500,34114000
05502,34300000
05504,34200000
05505,34300000
05506,34200000
05508,34300000
05510,34322000
05511,34300000
05512,34200000
05513,39100000
05515,34300000
05516,34200000
05517,34200000
05518,33000000
05520,34322000
05521,34223300
05524,34200000
05527,33140000#33100000
05528,42900000#39717000
05530,34223300
05532,34000000
05533,34000000
05534,31681400
05535,34933000
05536,34300000
05537,31527260#34300000
05538,34224000
05539,34322000
05540,34300000
05543,34300000
05546,31527260#34300000
05548,31527260#34300000
05551,31527260#34300000
05554,31527260#34300000
05556,31527260#34300000
05557,31527260#34300000
05558,31527260#34300000
05561,34200000
05564,34300000
05566,34114000
05567,34000000
05568,34300000
05569,34114000
05570,31100000
05572,34300000
05574,34210000#34300000
05575,34210000#34300000
05576,31527260#34300000
05578,34200000
05579,34300000
05582,38127000#34300000
05583,34200000
05585,34200000
05586,34200000
05588,34210000#34300000
05589,34300000
05590,34114122
05591,34300000
05595,34432000
06000,34223300
06001,31681400
06002,34114000
06003,24900000
06006,34300000
06009,31440000
06012,31440000
06014,34322000
06015,34322000
06018,9210000
06021,34322000
06023,34300000
06024,31300000
06027,34310000#34300000
06033,44163210
06035,34310000#34300000
06036,34300000
06037,31681400
06038,34311000
06039,34311000
06040,34311000
06041,34325000
06042,42510000
06045,44165100#44164310
06046,34300000
06047,34300000
06050,31681400
06054,44425000
06057,34300000
06058,31200000
06060,34322000
06061,34322000
06063,34322000
06064,34311000
06065,34300000
06066,34000000
06067,34114000
06069,34311000
06070,34114000
06071,34114000
06072,34114000
06073,34114000
06074,34114000
06075,34350000
06078,50100000
06079,34114000
06083,34300000
06084,34300000
06086,34300000
06087,34350000
06093,34350000
06094,34300000
06095,44440000
06096,34324000
06097,34224000
06500,34223300
06505,42400000
06507,34139000
06508,34139000
06510,34139000
06512,34300000
06515,34139000
06516,34139000
06517,34139000
06523,34139000
06525,34139000
06527,34139000
06530,34139000
06534,34139000
06535,34139000
06540,34139000
06543,34300000
06544,34139000
06545,34139000
06550,34139000
06555,34139000
06560,34139000
06562,34139000
06565,34139000
06566,34139000
06567,34139000
06568,34300000
06569,34139000
06570,34139000
06572,34139000
06575,34139000
06578,34139000
06579,34139000
06580,34139000
06583,34139000
06584,34139000
06585,34139000
06586,34300000
06587,34223300
06588,34139000
06590,34139000
06592,34139000
06594,42410000
06595,34139000
07000,34100000
07003,34114110
07006,34139000
07008,34139000
07012,34400000#34410000
07015,34114000
07018,34400000#34410000
07020,34400000#34410000
07022,34114000
07023,34114000
07024,34114000
07030,34114000
07033,34114000
07036,34114000
07042,34114000
07043,34114000
07045,42415000
07047,34139000
07048,34100000
07051,34139000
07053,34100000
07054,34139000
07057,34114110
07059,44211000
07060,44211000
07061,34100000
07063,34223300
07066,34223300
07069,34223300
07072,34223300
07073,34223300
07075,34223300
07077,34223300
07078,34223300
07079,34223300
07080,34223300
07081,34223300
07082,34223300
07084,34223300
07087,34223300
07088,34223300
07089,34622000#34600000
07092,34100000
07093,34114000
07094,34100000
07095,34100000
07100,34100000
07102,34114000
07103,34114110
07104,34100000
07105,34114110
07114,34139000
07115,34100000
07116,34100000
07117,34100000
07120,34114000
07153,34400000#34410000
07155,34114000
07156,34400000#34410000
07176,34114000
07177,34100000
07180,34100000
07186,34114000
07190,34100000
07191,34100000
07192,34100000
07200,42415000
07201,34139000
07202,34139000
07203,34139000
07204,34139000
07205,34139000
07206,34139000
07207,34139000
07208,34114000
07230,34114110
07235,34114110
07294,34114000
07300,34223300
07305,34223300
07308,34223300
07310,34114000
07314,34223300
07315,34223300
07324,34223300
07327,34223300
07328,34223300
07330,34223300
07332,34223300
07343,34223300
07345,34223300
07347,34223300
07350,34223300
07360,42415000
07500,50100000
07501,34700000
07502,38431000#35125000
07503,50100000
07506,34144900
07508,50100000
07510,39830000#39330000
07512,39830000#39330000
07514,50100000
07517,39830000
07519,39830000
07520,39121200
07522,42414410#42415000
07524,38300000#38500000
07525,38300000#38500000
07527,38300000#38500000
07528,44510000
07529,44510000
07531,44510000
07533,50100000
07534,44510000
07535,42600000
07536,50100000
07538,38300000#38400000#38000000
07539,38300000#38500000
07541,42410000
07542,50100000
07543,50100000
07544,42410000
07546,44510000
07547,42600000
07548,50100000
07549,42000000
07550,38400000#38900000
07554,50100000
07555,50100000
07556,50100000
07557,50100000
07560,50100000
07563,50100000
07564,50100000
07565,50100000
07566,9210000
07567,50100000
07568,50100000
07569,50100000
07572,34000000
07578,38300000#38500000
07581,50100000
07583,50100000
07584,50100000
07585,50100000
07587,50100000
07589,50100000
07590,34139000
07592,34139000
07594,34955000
07595,50100000
07596,50100000
07597,50100000
08000,18530000
08010,34928470
08015,18100000#18400000
08025,30142000
08030,30172000#30191140
08035,30199760
08038,30199760
08040,30199760
08044,44530000
08045,39162100#39162110
08046,18510000#39293500
08050,34928470
08053,34928470
08055,34928470
08056,34928470
08057,18530000
08060,18530000
08065,18530000
08069,30199760
08070,30199760
08073,30199760
08075,38400000
08078,18530000
08500,18900000
08508,18900000
08510,18900000
08515,18900000
08520,18900000
08525,18900000
08526,18900000
08527,18900000
08528,18900000
08530,30133000
08535,18900000
08540,18900000
08545,18900000
08550,18900000
08555,18900000
08556,18900000
08565,18900000
08573,18900000
08575,18900000
08580,30133000
08585,44113000
08590,44530000
09000,39721000#42214000
09016,39711211#39720000#39722000
09024,39711211#39720000#39722000
09032,39711211#39720000#39722000
09040,39711211#39720000#39722000
09048,42210000
09056,39721000#42214000
09060,39141000
09064,39721100#39221000
09070,39711211#39720000#39722000
09072,39141000
09080,39141000
09088,39721100#39221000
09096,39721100#39221000
09500,33600000
09505,39100000
09508,18100000#18400000
09511,39100000
09514,39100000
09517,38622000
09520,33191110#33191100
09521,33600000
09523,39100000
09526,39100000
09529,39100000
09532,39100000
09535,31527260
09538,38622000
09541,39100000
09544,39100000
09548,18931000
09550,33600000
09553,33600000
09562,39144000
09566,38622000
09571,33600000
09572,39530000
09577,39100000
09589,44510000
09592,33600000
09595,33693000
10000,44616000#44614000#44619400
10004,39224340
10005,39224340
10006,44611100#44612100#44611000
10007,44611100#44612100#44611000
10008,42410000
10009,44616000#44614000#44619400
10010,44616000#44614000#44619400
10011,44619300
10015,44616000#44614000#44619400
10020,44616000#44614000#44619400
10021,44613300
10025,44616000#44614000#44619400
10030,38300000#38400000#38000000
10031,38300000#38400000#38000000
10034,38300000#38400000#38000000
10037,38300000#38400000#38000000
10040,44618400
10045,44616000#44614000#44619400
10049,42410000
10050,42410000
10051,42410000
10056,44616000#44614000#44619400
10057,44616000#44614000#44619400
10060,44616000#44614000#44619400
10067,44616000#44614000#44619400
10085,44616000#44614000#44619400
10500,44440000
10512,44440000
10518,44440000
10530,44440000
10532,44440000
10536,44440000
10548,44440000
10558,44440000
10560,44440000
10572,44440000
10584,44440000
11000,42140000
11009,42417200
11010,42417200
11013,42417200
11018,42417200
11022,42417200
11026,42417200
11033,42140000
11040,31100000#31160000
11048,31100000#31160000
11056,31100000
11063,42417200
11074,42140000
11082,42140000
11090,42140000
11095,42140000
11500,24900000
11505,33696300
11510,24900000
11512,38300000#38400000#38000000
11514,24000000
11515,38500000
11518,38000000#33000000
11519,38000000#33000000
11550,38000000#33000000
11567,24900000
11570,15700000
11590,38300000
12000,34500000
12005,34513100#37413000
12008,34500000
12009,34500000
12010,34500000
12011,24451000
12012,37413100
12013,34500000
12014,34500000
12015,34500000
12016,34500000
12017,38127000#34300000
12018,34500000
12019,34500000
12020,34500000
12021,34500000
12022,34500000
12023,34500000
12024,34500000
12025,34500000
12026,34930000#34960000
12027,34500000
12028,34500000
12029,34500000
12030,34500000
12031,34500000
12032,34500000
12033,38300000#38400000#38000000
12034,34513100#37413000
12035,34500000
12036,34500000
12037,37413100
12038,34513100#37413000
12039,34513100#37413000
12040,34500000
12041,34500000
12042,34500000
12043,34322000
12044,34500000
12045,34513100#37413000
12046,34513100#37413000
12047,34520000
12048,42912310
12050,34933000#38110000
12052,31527260#34300000
12053,35342000#35333200
12054,34500000
12055,34513100#37413000
12056,34500000
12057,34500000
12058,34500000
12059,34500000
12060,34500000
12062,34500000
12063,34500000
12064,34500000
12065,34500000
12067,37414000
12070,34500000
12071,34500000
12072,34500000
12073,34500000
12074,42122000
12075,34500000
12076,34500000
12077,35342000#35333200
12078,34500000
12079,34500000
12080,34513100#37413000
12081,34500000
12082,34500000
12083,37412200
12084,34500000
12085,34500000
12086,34500000
12087,37413200
12088,34500000
12089,34500000
12090,34223300
12091,34500000
12092,34513100#37413000
12093,34513100#37413000
12094,24451000
12095,24451000
12096,42912310
12097,34500000
12500,42991100
12505,42991100
12508,42991100
12510,42991100
12515,42991100
12520,42991100
12521,42991100
12522,42991100
12525,42991100
12530,42991100
12535,42991100
12540,42991100
12545,30190000
12550,42991100
12560,42991100
12568,42991100
12570,42991100
12572,42991100
12573,42991100
12575,42991100
12578,42991100
12582,42991100
12590,42991100
13500,44111100
13505,14212300
13508,44111100
13509,44111100
13510,44111100
13512,43413000#44114000
13515,14221000
13520,43413000#44114000
13528,14221000
13534,14221000
13536,14212300
13538,43413000#44114000
13540,43413000#44114000
13545,14212300
13546,44111000
13547,44111200
13550,14212300
13552,14212300
13554,44111000
13555,39715200
13557,44111700#44113200
13558,44111700#44113200
13559,44111700#44113200
13560,44111700
13561,44111700#44113200
13564,44111700#44113200
13565,44111700#44113200
13566,44111700#44113200
13570,44111700#44113200
13574,44112500
13579,44111700#44113200
13580,44111700#44113200
13581,44111700#44113200
13585,44111700#44113200
13593,44111700#44113200
13594,44111700#44113200
14000,39224100#39224000
14003,39224100#39224000
14005,39224100#39224000
14006,39224100#39224000
14009,39224100#39224000
14012,39224100#39224000
14015,39224100#39224000
14018,39224100#39224000
14021,39224100#39224000
14024,39224100#39224000
14027,44163230
14030,44163230
14033,03115000
14036,03115000
14039,03115000
14042,03115000
14045,03115000
14048,03115000
14051,03115000
14054,03115000
14066,39224100#39224000
14069,39224100#39224000
14075,03115000
14076,39224100#39224000
14078,39224100#39224000
14081,39224100#39224000
14084,39224100#39224000
14087,39224100#39224000
14090,19240000
14500,39224200
14515,39224200
14518,39224200
14520,39224200
14530,39224200
14533,39224200
14535,39224200
14543,39224200
14544,39224200
14545,44820000
14557,39224200
14560,39224200
14565,39224200
14567,39224200
14572,39224200
14575,44510000
14590,34324000
15000,44510000
15002,24911200#39812500
15004,44334000
15005,44111100
15006,30194300
15007,43300000
15008,39141300
15009,43300000
15010,43320000#44110000
15011,44111000
15012,44111200
15013,44200000
15014,43413000#44114000
15015,43413000#44114000
15016,24000000
15017,39291000
15018,38431000#35125000
15019,44221200
15020,44221200
15021,44221200
15022,44221200
15023,44221200
15024,44221200
15025,44221200
15026,44221200
15027,44221200
15028,44332000
15029,44100000
15030,44112310
15031,44112310
15032,35111300
15033,43413000#44114000
15034,34936110#44115811
15035,24000000
15036,44110000
15037,44221200
15038,39100000
