category,Mapped CPV
advertising and media services,79341000
aircraft & aviation services,60400000
architecture design planning,71200000#71240000
audio visual photo equip & supp.,32321200
building products & materials,44111000
building trade repairs maint.,44111000#45210000
business & administrative services,79900000
catering & hospitality,55520000
chemicals biochemical gas,38000000
cleaning equipment supplies,39800000
cleaning services,90910000
clothing & safety equipment,35113400
community & social services,85300000
construction & operation,45000000
defence & law enforcement,75240000
domestic & consumer elec,39710000
drugs & pharmaceutical products,33600000
elec lighting equip & services,31500000#31600000
electronic components & supplies,31500000#31600000
engineer research tech services,73100000
environmental & heritage services,90700000#90000000
event management & services,79952000
farming & animal services & equip,77800000#77500000
financial & insurance services,66000000
fire & safety,35110000
fishing & aquaculture,77800000
fleet servicing & accessories,50111000
food & beverage products,15000000
forestry,03440000#77200000
fuel & oils,9100000
furniture & furnishings,39100000
gas energy infrastructure equipment,42000000
graphical photographic & art,79961000
hardware,44316400
hand tools,44511000
healthcare services,85100000
horticulture & arboriculture,77000000
hr services,79414000
recruitment service,79600000
indust. automation process control,38800000
indust. production manufacturing,38800000
instrumentation equipment and supplies,31682210
it & telecomms,32000000
lab measure observe & test equipment,38300000
testing equipment,38900000
legal services,79100000
library services,92511000
luggage merchandise & personal,18920000
management advisory services,79000000#79400000
marine transport products,34930000
marine transport  services,98360000
marketing & communications,79342000
material handling & lifting equipment,42400000
mechanical plant services,71333000
mechanical plant equipment,42100000#42400000
medical equipment. & supplies,33100000
mining & quarrying & oil & gas,76000000
music game toy art craft & education,37000000
office related supplies & services,30192000
paper materials & products,22800000
traffic services ,63712700
parking service,63712400
traffice equipment,34630000
personal & domestic services,98514000#98000000
plant & equipment - disposal,42000000
plant & equipment - hire,42000000
plant & equipment - purchase,42000000
power generation transmission & distribution,31000000
printing & distribution services,79824000
railway tramway and track,34600000
real estate & property services,70000000
security equipment,35121000
security services,79710000
service industry machinery & equipment,42000000
signs & barriers,34992200#34928100
sport recreation  services,92000000
sport recreation equipment,37400000
training & development,80500000
transport freight logistics,60000000#63521000#63000000
travel & tourism,63515000#63500000
utilities,65000000
vehicles,34100000
venue hire,79952000
waste management & landfill,90500000
water & sewage,90400000
