Type of procedure actual,Type of Procedure
Public announcement,Other
Open procedure,Open
Intended restricted tender,Restricted
Negotiated procedure with public participation competition,Negotiated with prior publication of a call for competition /   competitive with negotiation
Pre-information procedure,Other
Restricted tender,Restricted
Free assignment,Other
Direct award with public participation competition,Direct award
Negotiated award with public participation competition,Negotiated award with public participation competition
Restricted tender with public participation competition,Restricted
Negotiated award,Negotiated award
Public participation competition <span>(50<em> hits,Other
Restricted procedure with public participation competition,Restricted
Notice of Contests,Other
Service concession,Other
Expression of Interest Procedure,Other
Negotiated procedure,Negotiated procedure
Competitive dialogue,Other
Dynamic electronic process,Other
Non-Open Procedure,Other
Framework agreement,Other
Building concession,Other
Dynamic Procurement System (DBS),Other
Search_innovation partnership,Other
Additional Information,Other
