Type of procedure actual,Type of Procedure
Restricted invitation to tender with public participation competition,Restricted
Restricted tender,Restricted
Restricted tender with public participation competition,Restricted
Free assignment,Other 
Direct award with public participation competition,Direct award
Non-open procedure,Non-Open Procedure
Not available,Other 
Open procedure,Open
Public announcement,Public announcement
Procedure with prior publication,Open procedure
Negotiated procedure,Negotiated procedure
Negotiated procedure with public participation competition,Negotiated procedure
Negotiated procedure with TW,Negotiated procedure
Negotiated award,Negotiated award
Prior notice,Prior publication
Competitive dialogue,Other 
