Type of procedure actual,Type of Procedure
Auftragsbekanntmachung Offenes Verfahren ,Open
Verhandlungsvergabe mit öffentlichem Teilnahmewettbewerb,Negotiated award with public participation competition
Teilnahmewettbewerb unterhalb der europäischen Schwellenwerte,Open
Öffentliche Ausschreibung ,Open
Öffentliche Ausschreibung (Dienstleistung),Open
Auftragsbekanntmachung - Sektoren Verhandlungsverfahren,Open
Beschränkte Ausschreibung mit öffentlichem Teilnahmewettbewerb,Restricted
Contract notice Open procedure,Open
Negotiated award with public participation competition,Negotiated with prior publication of a call for competition /   competitive with negotiation
Participation competition below the European thresholds,Other
Public announcement,Open
Public tender (service),Open
Contract notice - sectors negotiated procedure,Negotiated procedure
Restricted tender with public participation competition,Restricted
Notice of awarded contracts (services),Other
Notice of awarded orders (supply order),Other
Contract awarded (construction work),Other
Notice of awarded contracts (construction contract),Other
Awarded order (delivery/service),Other
Negotiated award,Negotiated procedure
Negotiated award without competitive tender,Negotiated without prior call for competition
Restricted invitation to tender without competitive tender,Restricted
Restricted tender without competitive tender,Restricted
Public award,Open
Direct award,Direct award
Contract notice Open procedure,Open
Negotiated award with public participation competition,Negotiated with prior publication of a call for competition /   competitive with negotiation
Participation competition below the European thresholds,Other
Public announcement,Open
Public tender (service),Open
Contract notice - sectors negotiated procedure,Negotiated procedure
Restricted tender with public participation competition,Restricted
Negotiated procedure without participation competition,Negotiated without prior call for competition
Limited call for tenders without a competition,Restricted
Open procedure,Open
Public announcement,Open
limited tender,Restricted
Restricted tender,Restricted
Free contract award,Other
Negotiated award without participation competition,Negotiated without prior call for competition
