Type of procedure actual,Type of Procedure
public tender,Open
public tender,Open
negotiated procedure with participation competition,Negotiated with prior publication of a call for competition /competitive with negotiation
open procedure,Open
negotiation procedure with participation competition,Negotiated with prior publication of a call for competition /competitive with negotiation
negotiation procedure with participation competition,Negotiated with prior publication of a call for competition /competitive with negotiation
public tender,Open
open procedure,Open
restricted tender,Restricted
negotiated the award without an entry contest,Other
negotiation price without participation competition,Negotiated without prior call for competition
Freehand Assignment,Direct award
free hand allocation,Direct award
open procedure,Open
free hand allocation,Direct award
restricted tender,Restricted
negotiation price without participation competition,Negotiated without prior call for competition
