Type of procedure actual,Type of Procedure
Open Adapted Procedure,Open
Open Adapted Procedure > 90 k€,Open
Open Adapted Procedure < 90 k€,Open
Open Call for Tenders,Open
Dynamic Acquisition - Call for Applications,Other
Other Restricted Procedure,Restricted
Quote request - Open,Open
Other Open Procedure,Open
Concession Agreement - Open Consultation,Concession award procedure
Procedure with Negotiation,Negotiated procedure
Restricted Tender,Restricted
Restricted Contest,Restricted
Design-Build Market,Other
