category,mapped cpv
aaiclas(cargo),63100000
aerodrome,34700000#34000000
aeronautical information service,34000000#63700000
centralised billing and payment system,48444100#48000000
global navigation satellite services,64200000
official language,80500000
air traffic services,63732000
industrial relation,79600000
cartography,30220000
implementation of rti act,79000000
navigation and surveillance,63724000
hr,79414000
search and rescue,75252000
admin,75100000
administration,75100000
aerodrome licensing,63700000
air traffic flow management,34962000#63732000
air traffic management,34962000#63732000
air space management,63732000
airport audit,63700000
airport marketing,63700000#79000000
airport navigation services,63724000
airport systems,63700000
aviation safety,63700000
aviation security,63700000
central radio stores depot,63700000
consultancy &amp; coordination,79000000
consultancy &amp; coordination division,79000000
corporate affairs &amp; company secretary,75100000#75200000
corporate communications,79400000
corporate planning &amp; management services,79400000
csr,79416000
directorate of technical,75000000
engineering,71300000
finance &amp; accounts,79211000#66000000
fire services,75250000#71317100
flight inspection unit,60400000
horticulture,03110000#16400000
human resource,79414000
information technology,72222300
internal audit,79212200
joint venture cell,66122000
land management,70332100
law,75242000
library,92511000
material management,79000000
medical,33100000#85100000
official language,80500000
pilot,604441000
planning,71240000#71400000
project monitoring &amp; quality assurance,72224200
public relations,79416000
vigilance,75131000
