Type of procedure actual,Type of Procedure
Non-European procedure,Other
EU - Open Procedure,Open
EU - Restricted Procedure,Restricted
EU - Accelerated Restricted Procedure,Restricted
EU - Accelerated Restricted Procedure,Restricted
EU - Negotiated Procedure,Negotiated Procedure
EU - Accelerated Negotiated Procedure,Negotiated Procedure
EU - Competitive dialogue, Competitive dialogue
Expression of Interest,Other
Sale Auction,Other
EU - Restricted Procedure (Part B),Restricted
Other,Other
Company procedure,Other
EU - Negotiated Procedure following publication of notice,Negotiated procedure without prior call for tenders
EU - Negotiated procedure without prior call for tenders \n,Negotiated procedure without prior call for tenders
EU - Notice on the existence of a Qualification System,Other
Sale\/Lease Tender,Other
Prior information notice,Other
Sponsor\/partnership selection procedure,Other
