Type of procedure actual,Type of Procedure
Trustee piece rate (by direct invitation),	Other
Multilot,	Other
Restricted Procedure,	Restricted
Negotiated procedure without publication of a notice,	Negotiated without prior call for competition
Negotiated procedure with the publication of a notice,	Negotiated without prior call for competition
Open Procedure,	Open
RFQ (Request for Offer),	Other
Direct assignment,	Other
Direct assignment upon request for quotes,	Other
Expression of interest,	Other
Market survey,	Other
Dynamic Procurement System - Establishment notice,	Other
Dynamic Acquisition System - Simplified tender,	Other
Dynamic Procurement System - Specific procurement,	Other
