Type of procedure actual,Type of Procedure
Open,Open
Restricted,Restricted
Negotiated,Negotiated procedure
Negotiated without tender,Negotiated without prior call for competition
Negotiated with qualification,Negotiated with prior publication of a call for competition /   competitive with negotiation
Public Notices,Other
Market survey,Other
Negotiated procedure without prior publication,Negotiated without prior call for competition
Direct assignment,Other
Negotiated procedure for sub-threshold assignments,Negotiated procedure
Open procedure,Open
