Type of procedure actual,Type of Procedure
23-AFFIDAMENTO DIRETTO,Direct award
04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,Negotiated without prior call for competition
05-DIALOGO COMPETITIVO,Competitive dialogue
37-PROCEDURA COMPETITIVA CON NEGOZIAZIONE,Competitive tendering
17-AFFIDAMENTO DIRETTO EX ART. 5 DELLA LEGGE 38191,Direct award
33-PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,Negotiated procedure 
03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE,Negotiated with prior publication of a call for competition
01-PROCEDURA APERTA,Open
07-SISTEMA DINAMICO DI ACQUISIZIONE,Other
02-PROCEDURA RISTRETTA,Restricted
23-AFFIDAMENTO DIRETTO ,Direct award
24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,Direct award
25-AFFIDAMENTO DIRETTO A SOCIETA' RAGGRUPPATECONSORZIATE O CONTROLLATE NELLE CONCESSIONI E NEI PARTENARIATI,Direct award
26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO CONVENZIONE,Direct award
31-AFFIDAMENTO DIRETTO PER VARIANTE SUPERIORE AL 20% DELL'IMPORTO CONTRATTUALE,Direct award
36-AFFIDAMENTO DIRETTO PER LAVORI SERVIZI O FORNITURE SUPPLEMENTARI,Direct award
39-AFFIDAMENTO DIRETTO PER MODIFICHE CONTRATTUALI O VARIANTI PER LE QUALI È NECESSARIA UNA NUOVA PROCEDURA DI AFFIDAMENTO,Direct award
06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI),Negotiated without prior call for competition
22-PROCEDURA NEGOZIATA CON PREVIA INDIZIONE DI GARA (SETTORI SPECIALI),Negotiated without prior call for competition
08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,Other
14-PROCEDURA SELETTIVA EX ART 238 C.7 D.LGS. 1632006,Other
27-CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADROCONVENZIONE,Other
28-PROCEDURA AI SENSI DEI REGOLAMENTI DEGLI ORGANI COSTITUZIONALI,Other
32-AFFIDAMENTO RISERVATO>32-AFFIDAMENTO RISERVATO,Other
34-PROCEDURA ART.16 COMMA 2-BIS DPR 3802001 PER OPERE URBANIZZAZIONE A SCOMPUTO PRIMARIE SOTTO SOGLIA COMUNITARIA,Other
38-PROCEDURA DISCIPLINATA DA REGOLAMENTO INTERNO PER SETTORI SPECIALI,Other
21-PROCEDURA RISTRETTA DERIVANTE DA AVVISI CON CUI SI INDICE LA GARA,Restricted
29-PROCEDURA RISTRETTA SEMPLIFICATA,Restricted
30-PROCEDURA DERIVANTE DA LEGGE REGIONALE,Restricted

