category,cpv
other energy sources,65400000#71314000
architects and landscapers,71200000#71420000
technical studies office,71630000
technical control offices,72220000
fuels,09100000
auxiliary materials,34000000
geotechnical services,71332000
topography services,71351810
restoration,45454100
cleaning supplies and equipment,39830000
building cleaning services,90911200
household appliances and items,39220000
gardening and development of green spaces,71421000
multidisciplinary maintenance,50800000
office equipment and supplies,30190000
guarding and security services,79710000#79713000
utility and service vehicles (equipment supplies and services),34000000#60000000
vehicle rental and leasing (lld),60170000
medical equipment products and services,33100000#85100000
personal transport,60000000
other hr services,79414000
water treatment and filtration (equipment supplies and services),42912310
sale of scrap metal and waste management,14630000
signaling (supplies and services),31600000
ppe and work clothing,33000000#18000000
packaging supplies (big-bag bags and others),18900000
metal cables for machinery,31210000
laboratory equipment and supplies,38000000
industrial gases,24110000
tools and machine tools (equipment services and spares),42600000
belt conveyor (equipment belts accessories and services),42417200
catalysts,24000000
scaffolding (supplies and services),44212310#45262100
other maintenance services,50800000
mechanical maintenance,50710000
bolts,44531400
industrial insulation coating and painting,44113330#45261220
industrial cleaning,90910000
rental of machines and equipment,43000000#42000000
laboratory analyzes (external),38000000
hardware materials and construction materials,44316400#44110000
the electric cables,31200000
electrical maintenance,50532400
explosives and accessories (supplies and services),24600000
metals and metal parts according to plan,14700000
lubricants,24951100
hydraulic equipment,43328100
sealing supplies,39360000
electrical supplies and tools,31680000
lifting equipment (equipment services and spares),42410000
mining equipment and machinery (equipment services and spares),43100000#43000000
dci,
transmissions (equipment services and spares),32200000#64200000
water pumps (equipment services and spares),42122130
turbines and alternators (equipmentservices and spares),42110000#31130000
agitators (equipment services and spares),42000000
crushers and grinders (equipment services and spares),43000000#44000000
lubrication and greasing systems (equipment and services),24951000
industrial valves (equipment supplies and services),42130000
hydrocyclones (equipment services and spares),42912120
heat exchangers (equipment services and spares),42511000
filtration equipment (equipment services and spares),42912300
fuel pumps (equipment services and spares),42122180
gas cleaning (equipment services and spares),42972000
chemical pumps (equipment services and spares),42122000
heat engines (equipment services and spares),42124100
boilers (equipment services and spares),44621200#50531100
burners (equipment services and spares),42390000#51135100
