category,mapped cpv
accommodation,98341000
air transportation services,60400000
airborne isr,35000000#34000000
airfield and air operations support,60400000#60444000
catering services,55520000
commercial air services,60440000
communication services,64220000
communications infrastructure & radio systems,64228200
conference & office support services,64224000
electronic security services,72000000
electronic security systems,72000000
end user technology & applications,72000000
energy,71314000#31000000
engineering design and construction,71300000
enterprise platform,79990000
enterprise solutions,72000000
facility management,48420000#72212420#79931000
financial services,66000000
freight forwarding,63521000#63523000
freight forwarding (ff) & third-party logistics (3pl),63521000#63523000
fuel,09100000
geospatial information systems,72000000
health services,85100000
horizontal infrastructure,45200000
ict professional services,72222300
insurance,66510000
interior furnishings,45451300#79930000#39200000
isr & electronic defense systems,75220000
it professional services,72222300#72000000
medical & dental equipment & supplies,33130000#33100000
military aviation,35600000#35400000#75221000
network & storage equipment,30230000#32420000
office equipment & supplies,30100000#30192000
pharmaceuticals,33600000
physical security infrastructure,72212730#79710000
professional services,79000000
property leasing,70200000
rations,15897000
recruitment & training services,79600000#80500000
security services,79710000
server#network and storage,48820000#48782000
solid waste management,90500000
staff security & safety,79600000#79710000
travel management services,63516000
uas/rpas and airborne isr,35000000#34000000
vehicle fleet,50111100
water & waste water treatment,90400000#90500000
