NAICS Code,CPV
11,03000000
111,03110000
1111,03211900
11111,03111100
111110,03111100
11112,03111110
111120,03111110
11113,03221220#031221210
111130,03221220#031221210
11114,03211100
111140,03211100
11115,15331470
111150,15331470
11116,03211300
111160,03211300
11119,03211900
111191,03211900
111199,03211900
1112,15332180#03221000
11121,15332180#03221000
111211,03212100
111219,15332180#03221000
1113,03221200#03222000
11131,03222220
111310,03222220
11132,03222220
111320,03222220
11133,03222220
111331,03222321
111332,03222340
111333,03222313
111334,03222310
111335,03450000
111336,03222000#03450000
111339,03220000
1114,03120000
11141,03110000
111411,03221260
111419,03200000
11142,03120000
111421,03450000
111422,03451000
1119,03110000
11191,15992000
111910,15992000
11192,03115110
111920,03115110
11193,03113200
111930,03113200
11194,03441000
111940,03441000
11199,03110000
111991,03113100
111992,03111200
111998,03110000
112,03140000#03310000
1121,03321000#03320000
11211,03321000#03320000
112111,03321000#03320000
112112,03321000
11212,15500000#15511000
112120,15500000#15511000
11213,03321000
112130,03321000
1122,03323000
11221,03323000
112210,03323000
1123,03142500
11231,03142500
112310,03142500
11232,15112130
112320,15112130
11233,15110000
112330,15110000
11234,15112000
112340,15112000
11239,15112000
112390,15112000
1124,03322100#03322200
11241,03322100
112410,03322100
11242,03322200
112420,03322200
1125,03310000
11251,03310000
112511,03311000
112512,03312200
112519,03310000
1129,03140000
11291,03140000
112910,03140000
11292,03322300
112920,03322300
11293,03325100
112930,03325100
11299,03140000
112990,03140000
113,03400000
1131,03419000
11311,03419000
113110,03419000
1132,03400000
11321,03400000
113210,03400000
1133,03400000
11331,03400000
113310,03400000
114,03300000
1141,03300000
11411,03300000
114111,03300000
114112,03312200
114119,03300000
1142,03300000
11421,03300000
114210,03300000
115,03000000
1151,03110000
11511,03110000
115111,03115110
115112,16100000
115113,16300000
115114,16300000
115115,16300000#16100000
115116,03300000#15710000
1152,03140000
11521,03140000
115210,03140000
1153,03400000
11531,03400000
115310,03400000
21,76210000
211,76210000
2111,76210000
21112,09230000
211120,09230000
21113,09123000
211130,09123000
212,14000000
2121,09111100
21211,09111100
212114,09111100
212115,09111100
2122,14610000
21221,14611000
212210,14611000
21222,14523200#14523300
212220,14523200#14523300
21223,14715000#14722000#14712000#14713000
