category,cpv
advertising agency services,79340000
agricultural chemicals,24300000
agricultural machinery and equipment,16000000
agricultural products seeds seedlings plants,03000000
airconditioning and airconditioning systems,39717000
airconditioning maintenance services,50800000
aircraft spare parts,34700000
ammunitions and explosives,35300000
animal feeds,03140000
appliances,39000000
architectural design,71200000
arts and crafts accessories and supplies,37800000
audio and visual equipment,32320000
automation equipment,30200000
aviation services,50210000
bedclothes linens and towels,39500000
beverages,03130000
books maps and other publications,22100000
cargo forwarding and hauling services,63100000
catering services,55500000
chemical detergents,39830000
chemicals and chemical products,24962000
communication equipment,32500000
communication equipment & parts and accessories,32500000
computer furniture,39134000
construction equipment,43300000
construction management services,71540000
construction materials and supplies,44110000
construction projects,45200000
consulting services,71000000
corporate giveaways,18200000
dairy products,15500000
diagnostic and laboratory services,71900000
drugs and medicines,33600000
editorial design graphic and fine art services,79820000
education and training services,80500000
educational materials and supplies,39162000
electrical supplies,31680000
electrical systems and lighting components,31500000
electronic parts and components,31700000
engineering and laboratory testing equipment,38500000#38900000
environmental healthsafety equipment,33100000
events management,79952000
fertilizers,24450000
financial and insurance services,66000000
fire fighting & rescue and safety equipment,35110000
fixtures,39100000
flags,35821000
food processing equipment,42200000
food stuff,15000000
freight forwarder services,63521000
fuelsfuel additives & lubricants & anti corrosive,24950000
funeral and associated services,98370000
furniture,39100000
furniture parts and accessories,39150000
games and toys,37524000
gaming equipment and paraphernalia,37460000
garments,18300000
general contractor,45000000
general engineering services,71300000
general merchandise,15000000#03000000#30192000#31682000#32500000#33900000
general repair and maintenance services,50000000
geotechnical instrumentation,38200000
grocery items,03210000
guns and weapons,35300000
hardware and construction supplies,44316400
hospital medical equipment,33100000
hospital medical equipment services,50400000
hotel and lodging and meeting facilities,55100000
hydrological instruments,38290000
industrial machinery and equipment,42000000
industrial pumps and compressors,42120000
industrial safety equipment,42100000
information technology,32400000#30100000
information technology parts & accessories & perip,30124000
institutional food services equipment,39312000
internet services,72400000
investigative equipment,33950000
it broadcasting and telecommunications,32200000
janitorial equipment,98341130#18929000#33710000
janitorial services,98341130
janitorial supplies,33710000
kitchenware,39220000
laboratory supplies and equipment,38000000
landscaping services,71400000
laundry services,98311000
lease and rental of property or building,70200000
lifting equipment and accessories,42400000
live animals livestock birds live fish & etc,03300000
machine tools,42600000
mail and cargo transport services,63100000
mailing supplies,22300000#18933000
marine transport,60600000
maritime spare parts,34900000
market research services,79310000
medical and dental equipment,33110000
medical supplies and laboratory instrument,33000000
metal fabrication,45255400#44000000
meteorological equipments and instruments,38100000
microfilm equipment,38654000
microfilm equipment - supplies and accesories,38654000
musical instrument parts and accesories,37000000
musical instruments,37310000
navigation equipment,34933000
newspapers,22200000
office equipment,30000000
office equipment parts and accessories,30124000
office equipment supplies and consumables,30192000
office supplies and devices,39000000
oilheat chemical resistant rubber,19000000#03116000
ordnance products,35000000
packaging supplies and materials,18900000
packed food distributor,15000000
paper materials and products,22800000
personal care products,33700000
pest control products,24400000
pest control services,90922000
photographic equipment,38650000
photographic parts supplies and accessories,24900000
photography services,79960000
plastic products,19520000
power generation and distribution machinery,31200000
preserved or processed foods,15300000
print and broadcast and aerial advertising,79340000
printing services,79800000
printing supplies,30120000
public relations programs or services,79416000
purses handbags and bags,18930000
pyrotechnics and fireworks,39225000
quartermaster items,35000000
radiologicaldiagnostic equipment,33124000
reproduction services,32330000
rice milling services,42623000
safety and occupational products,35110000
security services,79700000
security surveillance and detection equipment,32230000
services,50000000#50200000#50300000#50400000#50500000#50600000#50700000#50800000
signage and accessories,34928470
sporting goods,18400000
sub-station contractors,45232220
surveying instruments,38290000
surveying services,71355000
systems integration,30100000#7200000#4800000
telecommunications provider,64200000
textiles,19000000
timepieces and jewelry and gemstone products,18500000
tokens and awards,39298700
traffic control systems,34630000
transmission and distribution lines,45317300
transportation and communications services,60000000
travel food lodging and entertainment services,92300000
vehicle parts and accessories,34300000
vehicle repair and maintenance,50100000
vehicles,34100000
veterinary products and supplies,33110000
video production services,92110000
waste management and recycling,90510000
water and waste water treatment supply & disposal,24962000
water service connection materialsfittings,44160000
well drilling and construction services,45000000
