segment,description
10000000,live plant and animal material and accessories and supplies
11000000,mineral and textile and inedible plant and animal materials
12000000,chemicals including bio chemicals and gas materials
13000000,resin and rosin and rubber and foam and film and elastomeric materials
14000000,paper materials and products
15000000,fuels and fuel additives and lubricants and anti corrosive materials
20000000,mining and well drilling machinery and accessories
21000000,farming and fishing and forestry and wildlife machinery and accessories
22000000,building and construction machinery and accessories
23000000,industrial manufacturing and processing machinery and accessories
24000000,material handling and conditioning and storage machinery and their accessories and supplies
25000000,commercial and military and private vehicles and their accessories and components
26000000,power generation and distribution machinery and accessories
27000000,tools and general machinery
30000000,structures and building and construction and manufacturing components and supplies
31000000,manufacturing components and supplies
32000000,electronic components and supplies
39000000,electrical systems and lighting and components and accessories and supplies
40000000,distribution and conditioning systems and equipment and components
41000000,laboratory and measuring and observing and testing equipment
42000000,medical equipment and accessories and supplies
43000000,information technology broadcasting and telecommunications
44000000,office equipment and accessories and supplies
45000000,printing and photographic and audio and visual equipment and supplies
46000000,defense and law enforcement and security and safety equipment and supplies
47000000,cleaning equipment and supplies
48000000,service industry machinery and equipment and supplies
49000000,sports and recreational equipment and supplies and accessories
50000000,food beverage and tobacco products
51000000,drugs and pharmaceutical products
52000000,domestic appliances and supplies and consumer electronic products
53000000,apparel and luggage and personal care products
54000000,timepieces and jewelry and gemstone products
55000000,published products
56000000,furniture and furnishings
60000000,musical instruments and games and toys and arts and crafts and educational equipment and materials and accessories and supplies
70000000,farming and fishing and forestry and wildlife contracting services
71000000,mining and oil and gas services
72000000,building and facility construction and maintenance services
73000000,industrial production and manufacturing services
76000000,industrial cleaning services
77000000,environmental services
78000000,transportation and storage and mail services
80000000,management and business professionals and administrative services
81000000,engineering and research and technology based services
82000000,editorial and design and graphic and fine art services
83000000,public utilities and public sector related services
84000000,financial and insurance services
85000000,healthcare services
86000000,education and training services
90000000,travel and food and lodging and entertainment services
91000000,personal and domestic services
92000000,national defense and public order and security and safety services
93000000,politics and civic affairs services
94000000,organizations and clubs
95000000,land and buildings and structures and thoroughfares
10100000,live animals
10110000,domestic pet products
10120000,animal feed
10130000,animal containment and habitats
10140000,saddlery and harness goods
10150000,seeds and bulbs and seedlings and cuttings
