contracttype,mapping
artsupplies,Supply
courses,Supply
educationalsupplies,Supply
gifts&souvenirs,Supply
medals&trophies,Supply
music&video,Supply
officesupplies&stationery,Supply
paper,Supply
sports&recreationalequipment,Supply
toners&cartridges,Supply
others,Supply
laboratoryequipment&supplies,Supply
avequipmentphotographicequipment&accessories,Supply
containers&storageequipment,Supply
copiers,Supply
electricalappliances&supplies,Supply
furniture,Supply
officeequipment,Supply
others,Supply
computeraccessories,Supply
desktopcomputers,Supply
itservices&softwaredevelopment,Supply
notebooks,Supply
others,Supply
personaldigitalassistants,Supply
printers&scanners,Supply
servers,Supply
softwares&licences,Supply
storagedevices&drives,Supply
telecommunicationdevices,Supply
safety&rescueequipment,Supply
workshopfurniture,Supply
workshopmachinerydiymachinery&supplies,Supply
workshoptoolsdiytools&accessories,Supply
printingservices,Service
surveyservices,Service
photographic&imagingservices,Service
postage&courier,Service
civilengineering,Service
publications&periodicals,Service
concreteproducts&repairs,Service
corrosionprotection,Service
equipmenttesting&calibrationservices,Service
accommodation,Service
cateringservices,Service
eventorganising,Service
meetingvenues&facilities,Service
outdooreventfacilities,Service
pantrysupplies,Service
restaurants,Service
buildingm&emaintenance,Service
cleaningequipment&supplies,Service
cleaningservices,Service
firefightingequipment&maintenance,Service
horticultureworks,Service
managementservices,Service
pestmanagementservices,Service
securityequipment&supplies,Service
securityservices,Service
disposalmanagement,Service
advertisingservices,Service
childcareservices,Service
dataentrysupplyofmanpowerservices,Service
disposalandmanagementofwastechemicals,Service
groomingservices,Service
laundryservices,Service
professionalservices,Service
publicrelations&counselling,Service
storageservices,Service
tailoring,Service
undertakerservices,Service
bushire,Service
carrental,Service
movingservices,Service
othervehiclerental,Service
others,Service
petroleumoil&lubricants,Service
shipbuildingmarinesupplies&services,Service
ticketingtravelservicestours&excursions,Service
vehiclemaintenance,Service
workshoptoolsmaintenance,Service
asphaltworks&roadmarking,Works
demolition,Works
fencing&ironworks,Works
generalbuilding&minorconstructionworks,Works
interiordecoration,Works
others,Works
piling,Works
pipeorcablelaying&roadreinstatement,Works
renovationsupplies&services,Works
repairs&redecoration,Works
signages,Works
soilinvestigation&stabilization,Works
