category,mapped cpv
artsupplies,37820000
courses,80530000
educationalsupplies,39162000
gifts&souvenirs,18530000
medals&trophies,18512200
music&video,37310000#32323300
officesupplies&stationery,30192000
paper,22200000
photographic&imagingservices,79961000
postage&courier,64100000
printingservices,79810000
publications&periodicals,22200000
sports&recreationalequipment,37400000
surveyservices,79311000
toners&cartridges,30125100
asphaltworks&roadmarking,45233222
civilengineering,71311000
concreteproducts&repairs,44114000#45262300
corrosionprotection,71337000
demolition,45111100
fencing&ironworks,45340000
generalbuilding&minorconstructionworks,45210000
interiordecoration,45451000
others,98300000
piling,44212400
pipeorcablelaying&roadreinstatement,45000000
renovationsupplies&services,79931000#44000000
repairs&redecoration,45451000
signages,34928470
soilinvestigation&stabilization,45110000
equipmenttesting&calibrationservices,50433000
laboratoryequipment&supplies,38000000
others,98300000
accommodation,98341000
cateringservices,55520000
eventorganising,79952000
meetingvenues&facilities,55120000
outdooreventfacilities,79952000
pantrysupplies,15800000
restaurants,39315000
building,m&emaintenance,50700000
cleaningequipment&supplies,39830000
cleaningservices,90910000
firefightingequipment&maintenance,35000000
horticultureworks,77000000
managementservices,79000000
pestmanagementservices,90922000
securityequipment&supplies,35121000
securityservices,79710000
avequipmentphotographicequipment&accessories,38650000#32321200
containers&storageequipment,44610000
copiers,30121100
electricalappliances&supplies,31600000
furniture,39100000
officeequipment,30190000
others,98300000
computeraccessories,30237200
desktopcomputers,30213000
itservices&softwaredevelopment,72000000
notebooks,22815000
others,98300000
personaldigitalassistants,30121400
printers&scanners,30232110#38520000
servers,48820000
softwares&licences,48218000#72212218
storagedevices&drives,30233140#30233180
telecommunicationdevices,32522000
disposalmanagement,90430000#90500000
others,98300000
safety&rescueequipment,35110000
others,98300000
advertisingservices,79341000
childcareservices,85312110
dataentry,supplyofmanpowerservices,72312000
disposalandmanagementofwastechemicals,90430000#90500000
groomingservices,85210000
laundryservices,98311000
professionalservices,79000000
publicrelations&counselling,79416000#85312320
storageservices,63121100
tailoring,98393000
undertakerservices,98370000
bushire,60172000
carrental,60171000
movingservices,63711200
othervehiclerental,60100000
others,98300000
petroleum,oil&lubricants,09200000#24951100
shipbuilding,marinesupplies&services,98360000
ticketing,travelservices,tours&excursions,63515000#63511000
vehiclemaintenance,50116000
workshopfurniture,39100000
workshopmachinery,diymachinery&supplies,43800000
workshoptoolsmaintenance,43800000#42600000
workshoptools,diytools&accessories,42600000
