category,mappedcpv
Computers/Information Technology,48000000#72000000#30000000#
Medical & Health Services,85100000#	
Electronic/Electrical Products,31000000#	
Furniture/Wood/Wood Products,39100000#39000000#
ConstructionReal Estate,45000000#70000000#
Business Services,79000000#
Paper/Printing/Publishing,79970000#79810000#22000000#	
Industrial Products & Services,42000000#
Consumer Products,15000000#	
Machinery,16000000#42000000#43000000#
Gifts/Crafts,37800000#37000000#
Food & Beverages,15000000#	
Shipping/Logistics,60640000#60000000#	
Education Services,80000000#
Automotives/Automotive Parts,34000000#	
