funding agency,sourceoffund
Scandinavian Bank,own 
Islamic Bank,1488442
African Development Bank,44
German Development Bank KFW,6594649
European Bank,7202189
World Bank,1012
Bank of Japan,7774024
Spanish Fund,own
International Fund for Agricultural Development (FIDA),6762783
Saudi Fund for Development,6675127
Arab Fund for Development,own
Kuwait Fund for Development,7611926
European Community,own
Swedish Cooperation Agency,7785151
French Development Agency,7634536
Self-financing,own
Other financing methods,own
Financing request,own
Tunisian bank loans,own
Organization of Petroleum Producing and Exporting Countries,own
budget,own
A gift,own
