Type of procedure actual,Type of Procedure
DIK No. 2886 Negotiation Procedure,Negotiated procedure
4734 JCC Negotiation Procedure,Negotiated procedure
GCC No. 4734 Open Tender Procedure,Open
Upright Open Bid Procedure No. 2886,Open
Electricity Distribution Companies Purchasing-Selling and Tender Regulation,Open
T. Sugar Factories Inc. Goods and Services Procurement Regulation,Other
TIGEM Purchase-Sale and Tender Regulation,Other
Exception and Out of Scope Tenders,Other
Sale pursuant to AATUHK No. 6183,Other
Cultural Heritage Tender Regulation,Other
EGM Sales Grant HEK and Scrap Regulation (Law No. 4645),Other
TAF Sales Grant Transfer and Exchange Practice (Law No. 3212),Other
DIK No. 2886 Closed Bid Procedure,Other
Foundation Higher Education Institutions Tender Regulation,Other
4734 JCC Among Certain Bidders,Restricted
