Type of procedure actual,Type of Procedure
Competitive dialogue,Competitive dialogue
Competitive tendering,Competitive tendering
Concession award procedure,Concession award procedure
Concession award without prior concession notice,Concession award without prior concession notice
Contract award without prior publication,Contract award without prior publication
Direct award,Direct award
Innovation partnership,Innovation partnership
Negotiated procedure,Negotiated procedure
Negotiated with prior publication of a call for competition /   competitive with negotiation,Negotiated with prior publication of a call for competition /   competitive with negotiation
Negotiated without prior call for competition,Negotiated without prior call for competition
Open,Open
Other,Other
Other multiple stage procedure,Other multiple stage procedure
Other single stage procedure,Other single stage procedure
Restricted,Restricted
