description,cpv
live plant and animal material and accessories and supplies,03121100#03324000 
mineral and textile and inedible plant and animal materials,14523100#19410000#15412100#19282000 
chemicals including bio chemicals and gas materials,24311000#24321000
resin and rosin and rubber and foam and film and elastomeric materials,19522000#19512000#19521000
paper materials and products,22991000#22992000 
fuels and fuel additives and lubricants and anti corrosive materials,09135000#24951200#092110000#09211630 
mining and well drilling machinery and accessories,43121000#43124900#43262100 
farming and fishing and forestry and wildlife machinery and accessories,16110000#16613000#16651000 
building and construction machinery and accessories,43310000#43320000
industrial manufacturing and processing machinery and accessories,42160000#42215000
material handling and conditioning and storage machinery and their accessories and supplies,42418500#44614300 
commercial and military and private vehicles and their accessories and components,34113000#34131000#35412200 
power generation and distribution machinery and accessories,34330000
tools and general machinery,44511000#42631000
structures and building and construction and manufacturing components and supplies,44111000#44212000
manufacturing components and supplies,44111000
electronic components and supplies,31711100
electrical systems and lighting and components and accessories and supplies,31681000#31521000#31531000
distribution and conditioning systems and equipment and components,31213000
laboratory and measuring and observing and testing equipment,38434000#38970000
medical equipment and accessories and supplies,33141000#33190000
information technology broadcasting and telecommunications,32211000#32524000 
office equipment and accessories and supplies,30191000#30192000
printing and photographic and audio and visual equipment and supplies,30121000#30122000#42991200#32321200 
defense and law enforcement and security and safety equipment and supplies,35112000#35113000#35121000
cleaning equipment and supplies,39831240#42921100 
service industry machinery and equipment and supplies,39314000
sports and recreational equipment and supplies and accessories,37410000
food beverage and tobacco products,15911000
drugs and pharmaceutical products,33600000
domestic appliances and supplies and consumer electronic products,39221000
apparel and luggage and personal care products,18222000
timepieces and jewelry and gemstone products,39293500
published products,22120000
furniture and furnishings,39130000
musical instruments and games and toys and arts and crafts and educational equipment and materials and accessories and supplies,37520000#37310000#37823500#39162000
farming and fishing and forestry and wildlife contracting services,92534000
mining and oil and gas services,45254100#76100000#76200000
building and facility construction and maintenance services ,45213000
industrial production and manufacturing services,71323000
industrial cleaning services,90911200
environmental services,90710000
transportation and storage and mail services,64216120
management and business professionals and administrative services,79412000
engineering and research and technology based services,73210000
editorial and design and graphic and fine art services,79950000
public utilities and public sector related services,65100000#65200000#65300000
financial and insurance services,66510000
healthcare services,85140000
education and training services,80410000
travel and food and lodging and entertainment services,79950000 #98340000
personal and domestic services,79610000
national defense and public order and security and safety services,75242000
politics and civic affairs services,98132000
organizations and clubs,79412000
land and buildings and structures and thoroughfares,45213000
live animals,03322000
domestic pet products,15711000
animal feed,15712000
animal containment and habitats,77000000#03140000
saddlery and harness goods,03142000
seeds and bulbs and seedlings and cuttings,03111000
floriculture and silviculture products,03100000
fertilizers and plant nutrients and herbicides,14300000#24453000
pest control products,24451000
live rose bushes,03110000#03000000
live plants of high species or variety count flowers,03110000#03000000
live plants of low species or variety count flowers,03110000#03000000
live chrysanthemums,03110000#03000000
fresh cut rose ,03110000#03000000
fresh cut blooms of high species or variety count flowers,03110000#03000000
fresh cut blooms of low species or variety count flowers,03110000#03000000
fresh cut chrysanthemums,03110000#03000000
fresh cut floral bouquets,03110000#03000000
dried cut roses ,03110000#03000000
dried cut blooms of high species or variety count flowers,03110000#03000000
dried cut blooms of low species or variety count flowers,03110000#03000000
dried cut chrysanthemums,03110000#03000000
fresh cut greenery,03221000
minerals and ores and metals,14523100#14600000#14700000
earth and stone,44900000#44910000
non edible plant and forestry products,3440000
non edible animal products,03142000#15100000
scrap and waste materials,3417000
fibers and threads and yarns,19400000
fabrics and leather materials,19100000
alloys,14600000
metal oxide,24311510
metal waste and scrap,14600000
explosive materials,24600000
elements and gases,24100000
additives,24951200#24957000
colorants,24220000
waxes and oils,03142400
solvents,44832000
compounds and mixtures,24112000#24112300
rubber and elastomers,19510000
resins and rosins and other resin derived materials,19522000#24327400
