category,mapped cpv
administrative & technical,75112000#75120000#85321000
advertising graphic arts marketing & interior design,79341000#79931000#79932000#79342000#79822500
agriculture forestry gardening landscaping lawn maintenance & snow removal,77000000
apparel textile & leather,19100000#18000000#19000000
architectural engineering & surveying,71200000#71300000#71250000
construction horizontal: highways & roadways; maintenance repair & new construction,45000000
construction vertical: building construction; rehabilitation & new construction,45000000
educational & recreational,80000000#92000000
environmental,71313000#90700000
facilities maintenance repair & building operations,50000000
financial,66000000
food beverages commissary & vending,15000000
freight moving & warehousing,63711200#63521000#63122000
fuels & lubricants,09100000#24951100
information technology,72222300
legal & investigative services,79100000#72222300
medical & health care,33000000
medical & laboratory equipment,33100000#38000000
miscellaneous,39300000#98300000
office & residential furniture supplies & equipment,39100000
photography video & drone services,79961100
printing,79810000
real property office hotel conferences & meeting space,70000000#55120000
safety & security,35121000#35113000
telecommunications,32000000#64200000
transportation bus rail marine & aviation,60000000
utilities & green energies,65000000
vehicles & equipment,34100000
