Description,CPV
Live Plant and Animal Material and Accessories and Supplies,03121100#03324000 
Mineral and Textile and Inedible Plant and Animal Materials,14523100#19410000#15412100#19282000 
Chemicals including Bio Chemicals and Gas Materials,24311000#24321000
Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,19522000#19512000#19521000
Paper Materials and Products,22991000#22992000 
Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,09135000#24951200#092110000#09211630 
Mining and Well Drilling Machinery and Accessories,43121000#43124900#43262100 
Farming and Fishing and Forestry and Wildlife Machinery and Accessories,16110000#16613000#16651000 
Building and Construction Machinery and Accessories,43310000#43320000
Industrial Manufacturing and Processing Machinery and Accessories,42160000#42215000
Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies,42418500#44614300 
Commercial and Military and Private Vehicles and their Accessories and Components,34113000#34131000#35412200 
Power Generation and Distribution Machinery and Accessories,34330000
Tools and General Machinery,44511000#42631000
Structures and Building and Construction and Manufacturing Components and Supplies,44111000#44212000
Manufacturing Components and Supplies,44111000
Electronic Components and Supplies,31711100
Electrical Systems and Lighting and Components and Accessories and Supplies,31681000#31521000#31531000
Distribution and Conditioning Systems and Equipment and Components,31213000
Laboratory and Measuring and Observing and Testing Equipment,38434000#38970000
Medical Equipment and Accessories and Supplies,33141000#33190000
Information Technology Broadcasting and Telecommunications,32211000#32524000 
Office Equipment and Accessories and Supplies,30191000#30192000
Printing and Photographic and Audio and Visual Equipment and Supplies,30121000#30122000#42991200#32321200 
Defense and Law Enforcement and Security and Safety Equipment and Supplies,35112000#35113000#35121000
Cleaning Equipment and Supplies,39831240#42921100 
Service Industry Machinery and Equipment and Supplies,39314000
Sports and Recreational Equipment and Supplies and Accessories,37410000
Food Beverage and Tobacco Products,15911000
Drugs and Pharmaceutical Products,33600000
Domestic Appliances and Supplies and Consumer Electronic Products,39221000
Apparel and Luggage and Personal Care Products,18222000
Timepieces and Jewelry and Gemstone Products,39293500
Published Products,22120000
Furniture and Furnishings,39130000
Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,37520000#37310000#37823500#39162000
Farming and Fishing and Forestry and Wildlife Contracting Services,92534000
Mining and oil and gas services,45254100#76100000#76200000
Building and Facility Construction and Maintenance Services ,45213000
Industrial Production and Manufacturing Services,71323000
Industrial Cleaning Services,90911200
Environmental Services,90710000
Transportation and Storage and Mail Services,64216120
Management and Business Professionals and Administrative Services,79412000
Engineering and Research and Technology Based Services,73210000
Editorial and Design and Graphic and Fine Art Services,79950000
Public Utilities and Public Sector Related Services,65100000#65200000#65300000
Financial and Insurance Services,66510000
Healthcare Services,85140000
Education and Training Services,80410000
Travel and Food and Lodging and Entertainment Services,79950000 #98340000
Personal and Domestic Services,79610000
National Defense and Public Order and Security and Safety Services,75242000
Politics and Civic Affairs Services,98132000
Organizations and Clubs,79412000
Land and Buildings and Structures and Thoroughfares,45213000
Live animals,03322000
Domestic pet products,15711000
Animal feed,15712000
Animal containment and habitats,77000000#03140000
Saddlery and harness goods,03142000
Seeds and bulbs and seedlings and cuttings,03111000
Floriculture and silviculture products,03100000
Fertilizers and plant nutrients and herbicides,14300000#24453000
Pest control products,24451000
Live rose bushes,03110000#03000000
Live plants of high species or variety count flowers,03110000#03000000
Live plants of low species or variety count flowers,03110000#03000000
Live chrysanthemums,03110000#03000000
Fresh cut rose ,03110000#03000000
Fresh cut blooms of high species or variety count flowers,03110000#03000000
Fresh cut blooms of low species or variety count flowers,03110000#03000000
Fresh cut chrysanthemums,03110000#03000000
Fresh cut floral bouquets,03110000#03000000
Dried cut roses ,03110000#03000000
Dried cut blooms of high species or variety count flowers,03110000#03000000
Dried cut blooms of low species or variety count flowers,03110000#03000000
