Type of procedure actual,Type of Procedure
Negotiated with Notice INT,Negotiated with prior publication of a call for competition /   competitive with negotiation
Open For Social Services And Other INT,Open
Competitive with Negotiations Local,Negotiated with prior publication of a call for competition /   competitive with negotiation
Design Contest,Other
Restricted Local,Restricted
Consulting,Other
Request for Proposals,Other
Purchase Tickets,Other
Partnership For Innovation Local,Other
Partnership For Innovation INT,Other
Competitive with Negotiations INT,Negotiated with prior publication of a call for competition /   competitive with negotiation
Restricted INT,Restricted
Negotiated with Notice Local,Negotiated with prior publication of a call for competition /   competitive with negotiation
Competitive Dialogue INT,Negotiated with prior publication of a call for competition /   competitive with negotiation
Open Local,Other
Open INT,Other
Negotiated without Notice,Open
Open For Social Services And Other Local,Open
Competitive Dialogue Local,Other
Dynamic Purchasing system,Other
Open Simple,Other
Small Value,Other
