Type of procedure actual,Type of Procedure
Open Procedure,Open
Negotiated Procedure,Negotiated procedure
Request for Proposal,Other
Consultancy Procedure,Other
Restricted Procedure,Restricted
Small-Value Purchases,Other
Additional Contracts,Other
Dynamic Purchasing,Other
Open Procedure above the high monetary limit,Other
Contract under a Framework Agreement,Other
Design Contest,Other
By negotiation without notice,Other
Restricted Procedure over the high monetary limit,Other
Marrëveshje Angazhimi,Other
Miratim tekst-Marreveshje me Akt Normativ(Vaksinat Anti-covid),Other
Competitive negotiated procedure,Other
Partnership for innovation,Other
Competitive dialogue,Other
Simplified open procedure,Other
