category,mapped cpv
agriculture,16000000#03000000
building and property,70100000
community and social services,85300000
construction,45000000
consultancies,71300000
education,80000000
energy,71310000
engineering and technical,71356000#71300000
finance tax and insurance,66510000#66100000
food,15000000
healthcare,33000000#85100000
information and technology,48000000#72000000
logistics,60000000#63000000
manufacturing,42000000#43000000#16000000
marketing and advertising,79340000
office supplies,30192000
other,39300000#98300000
professional services (excluding consultancies),79000000
recruitment services,79600000
sustainability and environmental,90700000#90000000
travel,63515000
vehicles,34100000#60000000
