Category,Mapped CPV
Advertising and Media Services,79341000
Aircraft & Aviation Services,60400000
Architecture, Design, Planning,71200000#71240000
Audio Visual Photo Equip & Supp.,32321200
Building Products & Materials,44111000
Building Trade, Repairs, Maint.,44111000#45210000
Business & Administrative Services,79900000
Catering & Hospitality,55520000
Chemicals, Biochemical, Gas,38000000
Cleaning Equipment, Supplies,39800000
Cleaning Services,90910000
Clothing & Safety Equipment,35113400
Community & Social Services,85300000
Construction & Operation,45000000
Defence & Law Enforcement,75240000
Domestic & Consumer ELEC,39710000
Drugs & Pharmaceutical Products,33600000
ELEC, Lighting, Equip & Services,31500000#31600000
Electronic Components & Supplies,31500000#31600000
Engineer, Research, Tech services,73100000
Environmental & Heritage Services,90700000#90000000
Event Management & Services,79952000
Farming & Animal Services & Equip,77800000#77500000
Financial & Insurance Services,66000000
Fire & Safety,35110000
Fishing & Aquaculture,77800000
Fleet Servicing & Accessories,50111000
Food & Beverage Products,15000000
Forestry,03440000#77200000
Fuel & Oils,09100000
Furniture & Furnishings,39100000
Gas Energy, Infrastructure, Equipment,42000000
Graphical, Photographic & Art,79961000
Hardware,44316400
Hand Tools,44511000
Healthcare Services,85100000
Horticulture & Arboriculture,77000000
HR Services,79414000
Recruitment Service,79600000
Indust. Automation, Process Control,38800000
Indust. Production, Manufacturing,38800000
Instrumentation Equipment and Supplies,31682210
IT & Telecomms,32000000
Lab, Measure, Observe & Test Equipment,38300000
Testing Equipment,38900000
Legal Services,79100000
Library services,92511000
Luggage, Merchandise & Personal,18920000
Management Advisory Services,79000000#79400000
Marine Transport Products,34930000
Marine Transport Services,98360000
Marketing & Communications,79342000
Material Handling & Lifting Equipment,42400000
Mechanical Plant Services,71333000
Mechanical Plant, Equipment,42100000#42400000
Medical Equipment. & Supplies,33100000
Mining & Quarrying & Oil & Gas,76000000
Music, Game, Toy, Art, Craft & Education,37000000
Office Related Supplies & Services,30192000
Paper Materials & Products,22800000
Traffic Services,63712700
Parking Service,63712400
Traffice Equipment,34630000
Personal & Domestic Services,98514000#98000000
Plant & Equipment - Disposal,42000000
Plant & Equipment - Hire,42000000
Plant & Equipment - Purchase,42000000
Power Generation, Transmission & Distribution,31000000
Printing & Distribution Services,79824000
Railway, Tramway and Track,34600000
Real Estate & Property Services,70000000
Security Equipment,35121000
Security Services,79710000
Service Industry Machinery & Equipment,42000000
Signs & Barriers,34992200#34928100
Sport, Recreation Services,92000000
Sport, Recreation Equipment,37400000
Training & Development,80500000
Transport, Freight, Logistics,60000000#63521000#63000000
Travel & Tourism,63515000#63500000
Utilities,65000000
Vehicles,34100000
Venue Hire,79952000
Waste Management & Landfill,90500000
Water & Sewage,90400000
