category,Mapped CPV
aggregates,14212200
asphalt,44113620
concrete,44114000
granular materials,14212000
sand,14211000
winter salt,14400000
animal wildlife & plants,03451000#03000000
services,98300000
supplies,39300000
artists performers crafts,37800000
services,98300000
supplies,39300000
works of art,37800000
assistive devices,33190000
associations & clubs,98130000
associations,98130000
clubs,98130000
religious,39270000#98131000
work related,98300000
audio/visual/printing/photography/theatre,79000000
services,98300000
supplies and equipment,39300000
automotive,34640000
emergency vehicles,34114100
excavators,43260000
fire trucks,34144210
graders,43220000
heavy trucks,34142000#34133000
lawn and farm equipment,16100000#03300000
light vehicles,34100000
loaders,34100000
lubricants,24951100
off road equipment,34113300
rental/leasing services,70200000
services,98300000
supplies & equipment,39300000
tractor implements,16700000
trailers,34223300
watercraft,37412000
aviation,34700000
building operation supplies and equipment - only,44111000
air filters,42514310
appliances,39700000#39300000
building materials,44111000
cabinets,39141300
doors/windows/locks,44521100#44221000
electrical,31600000
fabricated,43327000
flooring,44112210
hardware,44316400
janitorial,98341130
lighting,31500000
paint,44810000
plumbing,39715300
window coverings,39190000#44111400
building services,71315000
building automation,38000000#72000000
cleaning,39830000#90910000
elevator,42417000
fencing,34928220#44231000
generator equipment,31120000
graffiti removal,90690000
industrial cleaning,90910000
locksmith,98395000
mats & linens,19231000#39532000
movers & storage,63121100
overhead door,44221200
parking lighting maintenance,34996300
pest control,90922000
production & manufacturing services,98390000
security & monitoring,35121000#71700000#79710000
sprinkler system,44115500
window cleaning,90911300
building structures & land,44112000
land,45000000
permanent buildings,44211000
portable buildings,44211000
prefabricated,44211000
thoroughfares,45000000
business services,79000000
answering services,79512000
armored car,35400000
courier services overnight & delivery,64120000
document destruction,98300000
election service & supplies,75000000
records management,79996100
scanning services document conversion services,79999100#79000000
transcription services,79000000
cemetery supplies & services,45215400#98371110
chemicals & fuel,24000000#09100000
chemical materials (bio & gas),24000000
fuel pumps/ fuel management,42122180
fuel/ propane/diesel/gas/ lubricants,09000000#24951100
clothing and uniform,18000000
dry cleaning/ laundry,42716000#39291000
ems uniforms,18400000
fire uniforms/ bunker gear,35811100
footwear,18800000
police uniforms,35811200
safety clothing,35113400
school uniforms,18000000
transit uniforms,18000000
uniform rental,18000000
community & health services programs,85323000
community funding,85300000#98000000
institutional supplies/services ltc,39162000#80000000
medical supplies/support services,33100000#85100000
medical/dental services,85100000
services,98300000
supplies,39300000
construction,45000000
affordable housing,70333000
building & renovation,45400000
demolition,45111100
drainage,43324000#45232452
heavy duty equipment,34140000
infrastructure,45000000
infrastructure (traffic signalization),45316210
infrastructure (wastewater),45252127
municipal drains,44163110
oil & gas pipe construction,45231100
parks trails & landscape,45112711
power lines,31321000
remediation services,90000000
restoration services,45454100
roads bridge sidewalks,45200000
supplies (barricades pylons speed signs etc.),44212221#34992000
utility,65000000
services,98300000
supplies,39300000
consulting services - professional services,79000000
actuary,66519600
administrative,75112000
advertising/marketing,79340000
architectural,71200000
asbestos removal,90650000
associations & clubs,98130000
auction,79342400
auditing,79212000
disaster & emergency management,72251000
document accessibility,48311100#72512000#79131000
economic development,79300000
energy,71314000
engineering,71300000
geotechnical,71332000
hazardous materials,24000000
homestay services,98513310
human resources,79414000
information technology,72222300
insurance,66510000
landscape architecture,71420000
legal,79100000
management,79420000
occupational hygiene/industrial hygiene,85142300
other,98300000
planning,71240000#71400000
politics & civil affairs,75131000
public relations,79416000
real estate,70000000
recreation,92000000
roofing,44112500
surveying (ols/legal),71250000#71355000
training,80500000
travel,63515000
writing & translation,79530000
contracted services,79994000
cosmetology,98322100
drugs & pharmaceutical products,33600000
emergency services,98300000
environmental goods & services,90700000
consulting services,71300000#71800000
green power,90000000
landfill,90531000
pollution & odour control,90730000
portable toilets & septic services,90450000
recycling containers (green blue rain barrel composter etc.),42914000
sewage pumping station,45232423#90000000
soil testing boring drilling geotechnical soil management,71300000#90000000
waste container,34928480
waste disposal / recycling,90523000#90514000
equipment,39300000
electronic components,31711100
farming fishing forestry and wildlife,3300000
food services equipment,15000000#55000000
funeral equipment,39296000
gambling equipment,37540000
heavy equipment,42000000
industrial/manufacturing,39300000#98300000
other,39300000#98300000
parks & landscaping,45112711
vehicles,34100000
vending equipment,15894500#42933000
event planning or recreation,79952000
facilities redevelopment trades machinery construction architectural or engineering,45000000#71000000
financial services,66000000
abm/atm services (interac),30123200
accounting & bookkeeping services,79211000#79211100
banking & investment,66100000
billing,48444100
collection services,98300000
development finance,70110000
insurance & retirement services,66500000
mailing,30133000#79571000
payment provider & credit card processing,66115000#66517000
fire services,71317100#75250000
fire and intrusion system,75250000#35000000
fire protection equipment (nozzles fire extinguisher props etc.),35000000#44480000
maintenance,50000000
sprinkler system,44115500
supplies,39300000
first aid,33141623#80560000
services,98300000
supplies,39300000
flags,35821000
food,15000000
appliances,39700000
catering,39222000#39310000#55520000
services,98300000
furniture,39100000
library furniture,39155000
office furniture,39130000
office partitions/ wall systems,44112300
outdoor furnishings,39200000
school,39160000
shelving & storage,39131000
visual display services,72000000
health & safety,71317200
personal protective equipment (ppe),33000000
healthcare,85100000
heavy construction - earth handling equipment (industrial),42400000
services,98300000
supplies and equipment,39300000
human resources,79414000
education and training,80000000
recruitment services,79600000
information technology,72222300
computer hardware,72140000#30210000
computer software,72000000#30200000
gis,38221000
gps products,38221000
servers/racks/data centre/storage,48820000#39173000#39100000
services,98300000
jewelry products,18500000
gemstones,14520000
jewelry,18500000
timepieces,18500000
landscaping & forestry,45112700#77200000
arborist,77200000
arborist consultation,77200000
artificial turf,37000000
bedding plants,3451100
fertilizer,14300000
field restoration,45454100
grass cutting,77314100
horticultural supplies,3121000
interlocking brick maintenance,45000000
landscape & forestry supplies,03440000#16000000
mulch,3440000
property maintenance,70330000
seeding,77315000
small landscape equipment (ex. blowers push mowers weed wackers etc.),16300000#16000000
snow removal,90620000
sod,3000000
supplies & services,39300000#98300000
top soil,14212400
tree maintenance,77211500
tree planting,77300000
turf maintenance,50000000#45000000
law enforcement & security,75200000
equipment/supplies,39300000#98300000
security & safety services,79710000#79417000
leasing/rental,70200000
library,39155100#92511000
services,98300000
supplies,39300000
machinery and tools,42600000
powered & non-powered supplies & accessories,31000000
services,98300000
maintenance - other,50800000
medical,33000000
services,98300000
supplies,39300000
minerals textiles plant & animal material,19000000
minerals,14523100
plant & animal material,19000000
textiles,19000000
non-medical equipment furniture supplies stationary or services,30192700#38580000#39100000
non-profit agencies,79996000
office/school equipment accessories and supplies,30191000#30192000
early learning,80420000
machines and supplies,42000000
office supplies/school supplies,30192000
services,98300000
oil & gas operations,76000000
coil tubing,45255600#76331000
downhole tool equipment,43136000
drilling and completions equipment,43130000
field services,76000000
fluid hauling and trucking,76000000
inspection services,71631000#71315400#71730000
mining services,45250000
oilfield rental,43134000
other,98300000#39300000
vacuum/pressure truck services,60000000
other,98300000#39300000
paper products,22800000#33772000
materials,39300000
products,39300000
parking,63712400
meters/pay display,38730000
parks,63712400#45000000
concessions,98300000
engineered wood fiber surface,45432114
equipment & supplies,39300000
facility management,79000000
personal & domestic,39700000
domestic services,98514000
personal services,98000000
luggage handbags packs and cases,18900000
personal care products,33700000
sewing supplies & accessories,39227000#19435000
printing supplies and services,42962000#79810000
services,98300000
supplies,39300000
professional strategic administrative or management services,79000000
promotional & novelties,79342200
promotional & novelties,79342200
published products,79970000
electronic reference material,22114100
printed media,79000000
signage & accessories,34928470
recreation/education,80000000#92000000
arena & stadium services,92600000
arena & stadium supplies,37400000
blade sharpening,42000000
bleachers/stands,37535280
court surface specialists,37450000
fitness equipment,37440000
ice resurfacer,34100000
instructors,98300000
musical instruments - repairs,50860000
musical instruments - supplies,37300000
outdoor shades,39295000
paint (field marking ice paint etc.),44810000
park development,45000000
playground equipment,37535200
pool services,92000000
pool supplies,43324100
recreation flooring / restoration (gym floor rubberized etc.),45000000
science equipment & supplies,38000000
shop tech equipment & supplies,31730000#38000000
sporting goods,37400000
sports field lighting,31500000
welding equipment & supplies,42662000#44315100
religious,39270000#98131000
