category,cpv
other,98300000
washing equipment,42716110
instrumentation,31682210
project,48331000#72224000
communication cable,32562200
stage lighting and sound,31527260#31620000
film and television equipment,32321100#32320000
kitchen equipment,39221000
teaching equipment,39162100
sports equipment,37410000
transportation logistics,60000000#63000000
it network system,32427000
laboratory equipment,38000000
electronic power,31000000
food light industry and textile,15000000#18000000
office equipment,30000000
home decoration decoration,39298900
metallurgical mineral materials,14000000
electrical appliances,31680000
business research services,79000000
water conservancy and hydropower bridge,45000000
security video,32000000
construction real estate property,70000000
energy and chemical,71314000
publishing printing and packaging,79000000#79970000#79810000#79921000
agriculture forestry animal husbandry and fisheries,03000000
municipal environmental protection and greening,90000000
mechanical and electrical,71334000
medical Medicine,33000000
