Type of procedure actual,Type of Procedure
Open,Open
Closed,Other
Expedited closed,Other
Competitive dialogue,Competitive dialogue
Summary Procedure,Other
No previous publication,Other
Dynamic Shopping System,Other
Dynamic Purchasing System SA Specific Contract,Other
Expedited open,Other
Competitive with negotiation,Competitive tendering
Expedited competitive with negotiation,Other
Negotiation without prior publication,Negotiated procedure
Negotiation with prior announcement,Negotiated procedure
Negotiation without prior notice,Negotiated procedure
Negotiations included,Negotiated procedure
Trading by publication,Other
Expedited competitive with publication,Other
Innovation partnership,Other
???cft.procedure.type.qs???,Other
???cft.procedure.type.qs.specific.contract???,Other
Preliminary Market Consultation,Other
