Type of procedure actual,Type of Procedure
Öffentliche Ausschreibung,Public announcement
Offenes Verfahren,open procedure
beabsichtigte Beschränkte Ausschreibung,intended restricted tender
Verhandlungsverfahren mit öffentlichem Teilnahmewettbewerb,Negotiated procedure with public participation competition
Vorinformationsverfahren,pre-information procedure
Beschränkte Ausschreibung,Restricted tender
Freihändige Vergabe,Free assignment
Freihändige Vergabe mit öffentlichem Teilnahmewettbewerb ,Direct award with public participation competition
Verhandlungsvergabe mit öffentlichem Teilnahmewettbewerb,Negotiated award with public participation competition
Beschränkte Ausschreibung mit öffentlichem Teilnahmewettbewerb,Restricted tender with public participation competition
Verhandlungsvergabe,negotiated award
Öffentlicher Teilnahmewettbewerb <span>(50<em> Treffer,Public participation competition <span>(50<em> hits
Nicht Offenes Verfahren mit öffentlichem Teilnahmewettbewerb,Restricted procedure with public participation competition
Bekanntmachung über Wettbewerbe,Notice of Contests
Dienstleistungskonzession,service concession
Interessenbekundungsverfahren,Expression of Interest Procedure
Verhandlungsverfahren,negotiated procedure
Wettbewerblicher Dialog,competitive dialogue
Dynamisches elektronisches Verfahren,Dynamic electronic process
Nicht Offenes Verfahren,Non-Open Procedure
Rahmenvereinbarung ,framework agreement
Baukonzession,building concession
Dynamisches Beschaffungssystem (DBS),Dynamic Procurement System (DBS)
Suche_innovationspartnerschaft,Search_innovation partnership
Zusätzliche Informationen,Additional Information
