category,cpv
access control system,42961100#
animal feed ingredients,15700000#
audio-visual equipment,32320000#
aviation,09131000#
batteries and cells and accessories,31440000#
cables and wires,44300000#31300000#32520000#
civil construction goods,44420000#
consumables - cotton,03110000#
consumables (hospital / lab),33140000#
consumables - paper/printing/photocopy paper,22000000#30120000#
consumables- raw materials,14900000#
drugs and pharmaceutical products,38544000#33000000#
electrical goods/equipment,31000000#
electronic components and devices,31700000#
electronics equipment,31700000#
equipments (hospital / lab),33140000#
equipments (hospital / lab),33140000#
food products,15000000#
furniture/ fixture,39100000#
machineries/ mechanical engg items,34320000#
machinery and machining tools,42000000#43000000#44614310#
lab chemistry reagents,24000000#33696500#38000000#
laboratory and scientific equipment,38000000#
mechanical tools and equipment,
medical equipments/waste,33100000#
medicines,33610000#
metal fabrication,42630000#
metal plates,42665000#42640000#
metals,42665000#43700000#
metals - ferrous,14610000#
metals - non ferrous,14612400#14800000#
miscellaneous goods,
ups,31154000#
vehicles/vehicle spares,34300000#
water equipments/ meter/ drilling/ boring,38421100#
weighing system,42920000#
surveillance equipments,32235000#32323500#35120000#
street lighting,34928500#
sports goods/equipments,37400000#
scrap/disposables,14630000#
security system,35120000#
power/energy projects/products ,31000000#
network /communication equipments,32412000#32000000#
non consumables (hospital / lab),
road-equipment-,34920000#34996000#
computer- data processing,30236200#30210000#
oil/gas ,9134000#15400000#24920000#
civil works,45200000#71322000#
civil works - bridges,45222000#
civil works - buildings,45215000#
civil works - canal,45247000#
civil works - highways,45230000#
civil works - others,45000000#
civil works - roads,45233120#
civil works - water works,45231300#45232150#
coal works,45252150#
construction works,45000000#
drilling works,45120000#
electrical works,45310000#
miscellaneous works,45000000#
ofc laying works,45231110#
paint / enamel works,45442100#44812100#
pipe laying works,45231113#
plant protection input/equipment works,45251220#
civil construction ,45500000#
land/building,45000000#
water drilling ,45262200#
water-plumbing-work,45332200#
advertisement services,79341000#
agricultural or forestry,77000000#
allotment of space,
amc/ maintenance contracts,50000000#
architecture/interior design,71000000#
computer- data processing,72310000#
computer- h/w,51611100#
computer- s/w,72000000#
consultancy,71000000#7200000#
hiring of vehicles,60170000#60180000#
facility management services,79993100#
financial and insurance services,66000000#
marine services,98360000#
marine works,45244000#
manpower supply,98513000#
hotel/ catering,55500000#
housekeeping/ cleaning,98341110#
information technology,72222300#
info. tech. services,71356000#
survey,79311000#
survey and investigation services,79700000#
technology transfer services,80500000#
solar power plants,93000000#
supply  erection and commissioning,45000000#
support/maintenance service,50000000#
publishing/printing,79800000#
repair and maintenance services,50000000#
scanning digitisation services,79999100#
oil/gas ,65200000#
miscellaneous services ,98300000#
audio-visual services,50300000#
aviation services,72212130#72212131#72212132#
civil construction services,71322000#
hospital-services,85111000#
photocopying-services,79521000#
electrical-services,71314000#
shipping/ transportation/ vehicle,34000000#
energy  services,71314000#
job works,79611000#
building services,50700000#71315000#
