Type of procedure actual,Type of Procedure
All except minor title,Other 
Open title,Open
Traded with advertising title,Other 
Restricted title,Restricted
Competitive dialogue title,Other 
Direct contracting title,Other 
Negotiated without advertising title,Negotiated procedure
Minor title,Other 
Title does not apply,Other 
Teaching activities title,Other 
Title project competition,Other 
Audiovisual program project title,Other 
Contract based on a title framework agreement,Other 
Open simplified title,Other 
Open supersimplified title,Other 
Partnership for innovation title,Other 
Tender with negotiation title,Other 
By Administration with Private Entrepreneurs title,Other 
Specific contract dynamic title system,Other 
Derivative of partnership for innovation title,Other 
Public Purchase Innovation title,Other 
Abbreviated simplified open,Other 
Simplified open,Open
Open,Open
