type_of_procedure_actual,type_of_procedure
Competitive dialogue,Other
comp-tend,Other
Concession award procedure,Other
Concession award without prior concession notice,Other
Contract award without prior publication,Other
Direct award,Direct award
dir-awd,Direct award
Innovation partnership,Other
Negotiated procedure,Negotiated procedure
neg-w-call,Negotiated without prior call for competition
neg-wo-call,Negotiated without prior call for competition
Open,Open
Other,Other
oth-mult,Other
oth-single,Other
Restricted,Restricted
Competitive tendering,Other
Negotiated with prior publication of a call for competition / competitive with negotiation,Negotiated without prior call for competition
Negotiated without prior call for competition,Negotiated without prior call for competition
Other multiple stage procedure,Other
Other single stage procedure,Other
