Type of procedure actual,Type of Procedure
Making a contract directly,Direct award
Competing dialogue,Competitive dialogue
Another one-step procedure,Other single stage procedure
Another multi-step procedure,Other multiple stage procedure
Other,Other
Negotiated without prior publication of a call for tenders for the contract,Negotiated without prior call for competition
Negotiated with a pre-published competition invitation / the competition is negotiated,Negotiated with prior publication of a call for competition / competitive with negotiation
Limited,Restricted
open,Open
Innovation partnership,Innovation partnership
License granting procedure,Other
Negotiation procedure,Negotiated procedure
Tender procedure,Competitive tendering
Grant of license without prior notice,Other
Making a contract without prior notice,Concession award without prior concession notice
Limited procedure,Restricted
Open procedure,Open
Negotiation procedure,Negotiated procedure
Negotiation procedure for which no notice is published,Negotiated without prior call for competition
