Type of procedure actual,Type of Procedure
Dialogue Competitif ,Competitive dialogue
Contrat de concession ouvert ,Concession award procedure
Contrat de concession sans publicite ni mise en concurrence ,Concession award without prior concession notice
Procedure avec negociation ,Negotiated with prior publication of a call for competition /   competitive with negotiation
Appel doffres ouvert,Open
Marche de Conception-Realisation ,Other
Appel doffres restreint ,Restricted
Concours Ouvert,Open
Appel offres restreint avec pre-information ,Restricted
Contrat de concession restreint ,Restricted
Systeme dacquisition dynamique ,Other
Systeme de qualification ,Other
Systeme de referencement ,Other
MPA Procedures adaptees,Other
Procedure avec negociation et pre-information,Negotiated with prior publication of a call for competition /   competitive with negotiation
