category,mapped cpv
access to financing,66000000
facilitating meetings / workshops,79000000
audit and internal control,79212200#79212000
project management,48331000#72224000#79000000
communication consultancy,71316000
quality approach,79000000
organizational diagnosis,79900000
water and sanitation,90600000#71313000
studies and analyzes,71335000
training,80500000
administrative and financial management,66150000
printing / editing,79810000
management,79000000
photography audio video,79961000#92000000
strategic planning,71240000#71350000
