Category ,Mapped cpv
Food and seeds,03111000#03000000#15800000
Computing and telecommunications,30000000#32000000
Construction and related materials,44000000
Electricity and air conditioning,39717200#09310000#31200000
"Cleaning,fumigation and related items",39830000#39000000
Furniture and office furnishings,39100000#39130000#39000000
Stationery and bookstore items,30192700#30000000
"Advertising,campaigns and billboards",22462000#79341400#79341000
Health and hospital supplies,33000000
Security and weapons,35300000#35000000
"Insurance,bail bonds and banking services",66510000#66110000
"Textiles,clothing and footwear",18800000#18000000
"Transportation,spare parts and fuels",09100000#34000000
Other types of goods or services,
Property,70100000#70200000#70300000
