type of procedure actual,type of procedure
open,open
restricted,restricted
negotiated,negotiated procedure
negotiated without tender,negotiated without prior call for competition
negotiated with qualification,negotiated with prior publication of a call for competition /   competitive with negotiation
telematic orders,other
direct assignment,direct award
negotiated procedure without prior publication,negotiated without prior call for competition
market consultation,other
list of professionals,other
assignment of contracts,other
other warnings,other
announcements and notices not subject to procurement regulation,other
