Type of Procedure,Type of procedure actual,
Competitive dialogue,,
Competitive tendering,Concorso di progettazione,
Concession award procedure,,
Concession award without prior concession notice,,
Contract award without prior publication,,
Direct award,,
Innovation partnership,,
Negotiated procedure - ,Procedura negoziata,
Negotiated with prior publication of a call for competition /   competitive with negotiation,,
Negotiated without prior call for competition,,
Open,Procedura aperta/ Avviso Pubblico / Manifestazione d'interesse / Concessione,
Other,,
Other multiple stage procedure,,
Other single stage procedure,,
"Restricted"" - ",,
