Type of Procedure,Type of procedure actual
Competitive dialogue,
Competitive tendering,
Concession award procedure,
Concession award without prior concession notice,
Contract award without prior publication,
Direct award,
Innovation partnership,
Negotiated procedure - ,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA / 04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO
Negotiated with prior publication of a call for competition /   competitive with negotiation,
Negotiated without prior call for competition,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO / 06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA 
Open,01-PROCEDURA APERTA
Other,MANIFESTAZIONE DI INTERESSE / CONCESSIONE IN VALORIZZAZIONE MEDIANTE LOCAZIONE
Other multiple stage procedure,
Other single stage procedure,
"Restricted"" - ",
