Type of procedure actual,Type of Procedure
Open Tender Procedure,Open
Special tender procedure,Other
Procedures for the selection of consultants,Other
Public Procurement Procedures,Other
Direct purchase,Other
General contract conclusion procedure,Other
Selection procedures for mineral licenses,Other
Asian Development Bank Procurement Procedures,Other
Regulation of the German Bank for Reconstruction and Development (KfW),Other
World Bank Procurement Procedures,Other
Tender procedure for concession award,Other
,
,
,
,
,
,
,
,
,
,
,
