Description,CPV
agriculture farming fishing forestry and related products,03000000
agriculture and horticultural products,03100000
products from agriculture horticulture and horticulture,03110000
seed,03111000
soybeans,03111100
peanuts,03111200
sunflower seeds,03111300
cotton seed,03111400
sesame seeds,03111500
mustard seeds,03111600
vegetable seeds,03111700
fruit seeds,03111800
flower seeds,03111900
råtobakk,03112000
sugar beets sugar cane,03113000
sugar beets,03113100
sugar cane,03113200
straw and fodder production,03114000
straw,03114100
fodder production,03114200
unprocessed plant products,03115000
unprocessed plant products used in textiles,03115100
cotton,03115110
jute,03115120
linen,03115130
natural rubber and latex and related products,03116000
natural rubber,03116100
natural latex,03116200
latex products,03116300
plants for use in special areas,03117000
plants used for the production of perfume preparations pharmaceutical preparations insect repellents or the like,03117100
plants used for the production of perfume preparations,03117110
plants used to manufacture pharmaceutical preparations,03117120
plants used for the manufacture of insect repellents,03117130
plants used for the production of anti-fungal agents or the like,03117140
plant seeds for special purposes,03117200
agricultural and horticultural products,03120000
horticultural products,03121000
live plants flower bulbs roots grafts and cuttings,03121100
cut flowers,03121200
flower arrangements,03121210
crops used for the production of beverages and spices,03130000
plants for the production of beverages,03131000
coffee beans,03131100
tea plants,03131200
feed,03131300
cocoa beans,03131400
spices not processed,03132000
animal products and related products,03140000
bull semen,03141000
animal products,03142000
natural honey,03142100
snails,03142200
edible products of animal origin,03142300
wax,03142400
egg,03142500
products from mixed farming,03143000
agricultural goods,03144000
grains potatoes vegetables fruit and nuts,03200000
grains and potatoes,03210000
grain,03211000
wheat,03211100
durum wheat,03211110
plain wheat,03211120
corn,03211200
rice,03211300
barley (grain),03211400
rye,03211500
oats,03211600
measured,03211700
cereal products,03211900
potatoes and dried vegetables,03212000
potatoes,03212100
dried legumes and plants,03212200
dried legumes,03212210
lentils,03212211
look at you,03212212
dried peas,03212213
legumes,03212220
vegetables fruit and nuts,03220000
vegetables,03221000
roots and tubers,03221100
root crops,03221110
beetroot,03221111
carrots,03221112
onion,03221113
turnip,03221114
tubers,03221120
fruits vegetables,03221200
beans,03221210
bean vicker,03221211
green beans,03221212
string beans,03221213
peas,03221220
garden peas,03221221
sugar snap peas,03221222
pepper fruits,03221230
tomatoes,03221240
squash,03221250
mushroom,03221260
cucumbers,03221270
leafy vegetables,03221300
head salad,03221310
leaf salads,03221320
artichokes,03221330
spinach,03221340
cabbage vegetables,03221400
cabbage,03221410
cauliflower,03221420
broccoli,03221430
brussels sprouts,03221440
fruits and nuts,03222000
tropical fruits and nuts,03222100
tropical fruits,03222110
bananas,03222111
pineapple,03222112
mango fruits,03222113
dates,03222114
raisins,03222115
figs,03222116
avocados,03222117
kiwi fruits,03222118
coconuts,03222120
citrus fruits,03222200
lemons,03222210
oranges,03222220
grapefruits,03222230
tangerines,03222240
limes,03222250
non-tropical fruit,03222300
berry fruit,03222310
currants,03222311
gooseberry,03222312
strawberry,03222313
raspberry,03222314
cranberry,03222315
apples pears and sour fruits,03222320
apples,03222321
pears,03222322
sour fruits,03222323
stone fruits,03222330
apricots,03222331
peaches,03222332
cherry,03222333
plums,03222334
grapes,03222340
table grapes,03222341
grapes,03222342
olive,03222400
farming hunting and fishing products,03300000
fish shellfish and sea products,03310000
fish,03311000
flatfish,03311100
tongue,03311110
plaice,03311120
cod fish,03311200
cod,03311210
pollock,03311220
lighting,03311230
haddock,03311240
herring,03311300
tuna,03311400
whiting,03311500
small herring,03311600
salmon,03311700
crustacea,03312000
oyster,03312100
shellfish,03312200
marine invertebrates,03312300
sea products,03313000
coral or similar products,03313100
natural sponge,03313200
pliers,03313300
algae,03313310
cattle live animals and small animals,03320000
cattle,03321000
cattle,03321100
calves,03321200
livestock population,03322000
sheep,03322100
goats,03322200
horses,03322300
pig,03323000
live poultry,03324000
small animals,03325000
rabbits,03325100
hares,03325200
livestock and products thereof,03330000
fresh milk from sheep and goats,03331000
milk from sheep,03331100
milk from goats,03331200
wool and animal hair,03332000
cut wool,03332100
animal hair,03332200
fresh cow's milk,03333000
ear tags for animals,03340000
ear tags for cattle,03341000
forest and timber products,03400000
wood,03410000
conifers,03411000
tropical woods,03412000
wood for fuel,03413000
untreated wood,03414000
soft wood,03415000
game wood,03416000
wood waste,03417000
sawdust,03417100
logs,03418000
hard wood,03418100
timber,03419000
empty products,03419100
mining timber,03419200
rubbers,03420000
balsa wood,03421000
shellac,03422000
cork,03430000
natural cork,03431000
basket products,03432000
wicker works,03432100
forestry products,03440000
ornamental plants grass moss and lichen,03441000
nursery products,03450000
plants,03451000
plants for planting,03451100
flower bulbs,03451200
shrubs,03451300
trees,03452000
soft mass,03460000
wood pulp,03461000
chemical wood pulp,03461100
oil products fuel electricity and other energy sources,09000000
fuel,09100000
solid fuel,09110000
coal and coal-based fuel,09111000
coal,09111100
coal-based fuel,09111200
coal,09111210
briquettes,09111220
fossil fuel,09111300
wood fuel,09111400
lignite and peat,09112000
brown coal,09112100
turf,09112200
coke,09113000
gaseous fuel,09120000
coal gas gas supply or other gases,09121000
coal gas or similar gases,09121100
lead gas,09121200
propane and butane,09122000
propane gas,09122100
liquid propane gas,09122110
butane gas,09122200
liquid butane gas,09122210
natural gas,09123000
petroleum and distillates,09130000
aviation kerosene,09131000
aviation fuel of the petroleum type,09131100
gasoline,09132000
unleaded petrol,09132100
leaded petrol,09132200
ethanol-containing petrol,09132300
liquefied petroleum gas (lpg),09133000
gas oils,09134000
diesel oil,09134100
diesel fuel,09134200
diesel fuel,09134210
diesel fuel,09134220
biodiesel,09134230
biodiesel (b20),09134231
biodiesel (b100),09134232
fuel oils,09135000
fuel oil,09135100
low sulfate highly flammable oils,09135110
petroleum coal and oil products,09200000
lubricating preparations,09210000
lubricating oils and lubricants,09211000
motor oils,09211100
compressor oils,09211200
turbine oils,09211300
gear oils,09211400
gear oils (reductor oils),09211500
oils for use in hydraulic systems and for other purposes,09211600
bags for hydraulic purposes,09211610
form oils,09211620
anti-corrosion oils,09211630
electroinsulating oils,09211640
brake fluids,09211650
white oils and liquid paraffin,09211700
white oils,09211710
liquid kerosene,09211720
oils and petroleum products,09211800
light oil,09211810
oil of petroleum,09211820
lubricating oil for traction,09211900
vaseline wax and special alcohol,09220000
vaseline and wax,09221000
vaseline,09221100
paraffin wax,09221200
petroleum wax,09221300
residual products of petroleum,09221400
special spirits,09222000
white spirit,09222100
crude oil,09230000
oil and coal-related products,09240000
bituminous shale or oil shale,09241000
coal-related products,09242000
coal oil,09242100
electricity heating solar energy and nuclear energy,09300000
