category,mapped cpv
art supplies,37820000
courses,80530000
educational supplies,39162000
gifts & souvenirs,18530000
medals & trophies,18512200
music & video,37310000#32323300
office supplies & stationery,30192000
paper,22200000
photographic & imaging services,79961000
postage & courier,64100000
printing services,79810000
publications & periodicals,22200000
sports & recreational equipment,37400000
survey services,79311000
toners & cartridges,30125100
asphalt works & road marking,45233222
civil engineering,71311000
concrete products & repairs,44114000#45262300
corrosion protection,71337000
demolition,45111100
fencing & ironworks,45340000
general building & minor construction works,45210000
interior decoration,45451000
others,98300000
piling,44212400
pipeor cablelaying & road reinstatement,45000000
renovation supplies & services,79931000#44000000
repairs & redecoration,45451000
signages,34928470
soil investigation & stabilization,45110000
equipment testing & calibration services,50433000
laboratory equipment & supplies,38000000
others,98300000
accommodation,98341000
catering services,55520000
event organising,79952000
meeting venues & facilities,55120000
outdoor event facilities,79952000
pantry supplies,15800000
restaurants,39315000
building m&e maintenance,50700000
cleaning equipment & supplies,39830000
cleaning services,90910000
fire fighting equipment & maintenance,35000000
horticulture works,77000000
management services,79000000
pest management services,90922000
security equipment & supplies,35121000
security services,79710000
av equipment photographic equipment & accessories,38650000#32321200
containers & storage equipment,44610000
copiers,30121100
electrical appliances & supplies,31600000
furniture,39100000
office equipment,30190000
others,98300000
computer accessories,30237200
desktop computers,30213000
it services & software development,72000000
notebooks,22815000
others,98300000
personal digital assistants,30121400
printers & scanners,30232110#38520000
servers,48820000
softwares & licences,48218000#72212218
storage devices & drives,30233140#30233180
telecommunication devices,32522000
disposal management,90430000#90500000
others,98300000
safety & rescueequipment,35110000
others,98300000
advertising services,79341000
childcare services,85312110
data entry supply of manpower services,72312000
disposal and management of waste chemicals,90430000#90500000
grooming services,85210000
laundry services,98311000
professional services,79000000
public relations & counselling,79416000#85312320
storage services,63121100
tailoring,98393000
undertaker services,98370000
bus hire,60172000
car rental,60171000
moving services,63711200
other vehicle rental,60100000
others,98300000
petroleum oil & lubricants,09200000#24951100
ship building marine supplies & services,98360000
ticketing travel services tours & excursions,63515000#63511000
vehicle maintenance,50116000
workshop furniture,39100000
workshop machinery diy machinery & supplies,43800000
workshop tools maintenance,43800000#42600000
workshop tools diy tools & accessories,42600000
