keywords,cpv
agricultural,03144000#16000000#77100000
animal related,03142000#77500000
architectural,71200000
audio/video,32320000#32232000
building supply,44111000
chemicals,24300000
clothing,18000000
construction,45000000#44100000
demolition,45111100
educational,37524100#39162000
electrical sup,31600000
engineering,71300000
equipment,
equip rental,42000000#43000000
energy savings,71314000
food,15000000
food service,15000000#42200000
fuels,09100000
furniture,39100000
highway mnt svc,
hospital,33100000#85110000
road supplies,34920000
insurance,66510000
info technology,72222300
janitorial,98341130
laboratory,38437000#38000000
public safety,75241000
legal services,79100000
medical service,85100000
services nps,
office,30000000
p3,
photography,79961000
printing,42991200#79810000
pro services,79000000
security svc,79710000
telecomm,32000000#64200000
traffic items,34930000#34960000
vehicles,34100000
