category,mapped cpv
accommodation,98341000
activities auxiliary to financial service and insurance activities,66519300
activities of head offices; management consultancy activities,79400000
activities of households as employers of domestic personnel,98500000
administrative and support activities,75100000
advertising and market research,79341000#79310000
air transport,60400000
architectural and engineering activities; technical testing and analysis,71600000
arts entertainment and recreation,92000000#92300000
civil engineering,71311000
computer programming consultancy and related activities,72200000
construction,45000000
construction of buildings,45211000#45212000
creative arts and entertainment activities,92000000
disposals: general,98300000
education,39162000#80000000
electricity gas steam and air conditioning,31200000#42000000
employment activities,98300000#98000000
financial and insurance activities,66000000
financial service activities except insurance and pension funding,66000000
food and beverage service activities,55000000
human health activities,85100000
human health and social work activities,85000000
information and communication,72000000
information service activities,72000000
insurance reinsurance and pension funding except compulsory social security,66500000
land transport and transport via pipelines,63700000
legal and accounting activities,79100000#79211000
libraries archives museums and other cultural activities,92500000
manufacture of basic metals,14700000
manufacture of chemicals and chemical products,24000000
manufacture of coke and refined petroleum products,09113000#09200000
manufacture of computer electronic and optical products,30000000
manufacture of electrical equipment,31600000
manufacture of fabricated metal products except machinery and equipment,14000000
manufacture of furniture,39100000
manufacture of machinery and equipment n.e.c.,42000000
manufacture of motor vehicles trailers and semi-trailers,34223000#34100000
manufacture of other non-metallic mineral products,14800000
manufacture of paper and paper products,22000000
manufacture of rubber and plastics products,19510000#19520000
manufacture of textiles,19200000
manufacturing,39300000
mining and quarrying,14500000
mining of coal and lignite,45254100
mining support service activities,45254000
motion picture video and television programme production sound recording and music publishing activities,92100000#92200000
office administrative office support and other business support activities,79500000
other manufacturing,39300000
other personal service activities,98000000
other professional scientific and technical activities,71350000#98110000
other service activities,98390000
postal and courier activities,64110000#64120000
printing and reproduction of recorded media,79800000
professional scientific and technical activities,71350000#98110000
programming and broadcasting activities,32210000#72243000
publishing activities,79970000
real estate activities,70000000
remediation activities and other waste management services,90500000
rental and leasing activities,70200000
repair and installation of machinery and equipment,50000000
residential care activities,85144100
scientific research and development,71350000
security and investigation activities,79710000#79720000
services to buildings and landscape activities,71400000
services: building,71315000
services: civil,71311000
services: electrical,71314100
services: functional (including cleaning and security services),79710000#90910000
services: general,75110000
services: professional,79000000
sewerage,45232410#90480000
specialised construction activities,45000000
sports activities and amusement and recreation activities,92331000#92330000
supplies: clothing/textiles/footwear,18400000#18800000#19200000
supplies: computer equipment,30200000
supplies: electrical equipment,31600000
supplies: general,39300000
supplies: medical,33100000
supplies: perishable provisions,15000000
supplies: stationery/printing,30120000#30192700
telecommunications,32522000
transportation and storage,63121100#63000000
travel agency tour operator reservation service and related activities,63500000
warehousing and support activities for transportation,63122000
waste collection treatment and disposal activities; materials recovery,90500000
water collection treatment and supply,90500000
water supply; sewerage waste management and remediation activities,90500000#90480000
water transport,60600000
wholesale and retail trade and repair of motor vehicles and motorcycles,50115000#50110000
