keywords,cpv
postal mail courier and cargo transport -overall,64110000#64216120#64120000#63100000
computer software,48200000#48300000
nonresidential building construction,45210000
computers printers and accessories,30213000#30232100
printing publishing and photographic equipment and machinery,42991200#38650000
building and office cleaning services -internal,90910000
professional engineering services -overall,71300000
specialised trade construction and maintenance services -overall,45000000#50000000
printed media educational vocational textbooks publications and promotional material,39294100#22112000#22000000#39162000
travel agencies and facilitation,63500000
