Category  Mapped cpv
Accountng 79211000# 79000000# 79200000
Agriculture 16000000# 77000000
Air-conditioning,39717000# 42510000
Appliances,39700000
Architectural Services,71200000
Audio Visual Equipment,32321200# 32320000
Auditing Services,792120000
Building materials,44111000
Building Repairs and Maintenance,50700000
Catering Services,55520000
Chemical Supplies,24000000
Civil engineering,71311000#71300000
Civil Projects,71300000
Cleaning Services,90910000
Clothing and textiles 18000000#19000000
Communication Public Relations and Advertising,79000000
Computers,30100000
Construction and architectural services,71310000#71200000#71300000
Construction Services,71310000
Courier Services,64120000
Debt Services,66000000
Demolition Projects,45110000
Earth Moving and Equipment,43200000#45112500
Education and Training,80000000
Electrical and Mechanical Services,71334000
Electrical Engineering,71334000
Electrical Equipment,31600000
Engineering Services,71300000
Equipment hire,42000000#43000000
Events Management,79952000
Financial Services,66000000
Fire and protective equipment,35000000
Food Products,15800000#15000000
Furniture,
Gardening Services,39100000
Graphic design, publishing and DTP,79970000#79822500#79000000
Healthcare,33000000#85100000
Human Resources and Labour,79414000#79000000
Hygiene Services,85142300
Information Technology and Telecommunication,48000000#72000000
Insurance services,66510000
Interior Design Services,79932000
Landscaping and horticulture,45112700#77000000
Laundry Services,98311000
Legal Services,79100000
Livestock,3322000
Mechanical engineering,71333000
Mechanical Equipment,31720000
Medical equipment,33100000
Medical Services,85100000
Medical Supplies ,33100000#33000000
Mining Projects,45254100
Office equipment,stationery and furniture,30000000
Painting,45442100
Pest Control Services,90922000
Plumbing services,71321300
Printing Services,79810000
Professional Engineering Services,71300000
Property and Real Estate,70000000
Quantity Surveyor,71300000
Recruitment Services,79600000
Rehabilitation Projects,45000000
Renewable Projects,71300000
Research Consultancy and Professional Services,79000000
Road Construction and Maintainance,45000000
Security Services ,79710000
Specialised Products,34900000
Specialised Services ,98300000
Structural Engineering,71312000
Tourism Travel and Hospitality,63000000
Transport and Logistics,60000000
Vehicle Repairs ,50116200# 50000000
Vehicles and vehicle parts,34000000
Video and Film ,92000000
Waste Removal ,90000000
Water works,45000000
